aX,aY,aZ,gX,gY,gZ
1.143,-0.26,-0.344,-16.541,38.757,-2.502
1.011,-0.265,-0.306,-12.573,24.353,-5.432
0.837,-0.277,-0.302,-9.521,9.094,-7.812
0.75,-0.329,-0.361,-6.775,0.854,-8.789
0.675,-0.395,-0.385,-4.761,-2.38,-7.08
0.651,-0.442,-0.389,-2.869,-0.671,-2.441
0.645,-0.49,-0.378,-0.427,8.545,2.686
0.794,-0.519,-0.45,1.526,22.888,7.202
1.006,-0.598,-0.494,2.991,37.903,9.949
1.155,-0.688,-0.605,3.479,42.297,11.597
0.994,-0.719,-0.685,0.61,35.339,8.118
0.721,-0.606,-0.592,-5.92,24.17,3.052
0.726,-0.59,-0.426,-10.132,16.724,1.709
0.821,-0.513,-0.251,-10.498,7.385,4.517
0.693,-0.459,-0.259,-10.864,-3.601,6.714
0.618,-0.467,-0.377,-10.193,-1.404,5.859
0.545,-0.559,-0.151,-8.301,13.733,6.653
0.974,-0.647,-0.115,-1.587,24.109,11.353
1.231,-0.508,-0.303,2.869,16.357,10.437
0.975,-0.563,-0.465,0.854,0.0,2.93
0.8,-0.616,-0.541,-2.502,-7.69,-2.075
0.803,-0.558,-0.518,-5.371,-5.676,-1.648
0.86,-0.511,-0.467,-6.592,-4.089,2.747
0.792,-0.505,-0.389,-7.812,-7.385,6.104
0.64,-0.465,-0.355,-9.766,-13.123,4.333
0.621,-0.415,-0.385,-10.925,-14.893,2.808
0.769,-0.434,-0.383,-10.559,-11.78,5.981
0.965,-0.455,-0.316,-9.155,-10.132,10.193
1.108,-0.45,-0.247,-6.47,-14.099,9.644
1.128,-0.465,-0.188,-3.906,-22.522,2.991
1.096,-0.455,-0.115,-0.366,-32.654,-5.066
0.955,-0.41,-0.062,3.662,-40.527,-13.0
0.785,-0.398,-0.118,8.545,-36.743,-21.484
0.718,-0.451,-0.277,13.794,-21.24,-27.954
0.703,-0.528,-0.425,15.808,-4.761,-31.616
0.688,-0.569,-0.495,14.099,3.174,-32.776
0.682,-0.587,-0.54,10.315,1.953,-33.264
0.644,-0.562,-0.514,5.737,-4.272,-32.593
0.547,-0.533,-0.464,2.197,-12.085,-30.518
0.534,-0.508,-0.436,0.366,-15.869,-27.527
0.621,-0.53,-0.495,-0.183,-15.564,-23.682
0.66,-0.579,-0.496,-0.366,-16.785,-19.775
0.749,-0.603,-0.537,-0.793,-22.583,-16.602
0.551,-0.519,-0.458,-2.625,-33.691,-13.367
0.269,-0.457,-0.378,-5.981,-30.579,-13.55
0.489,-0.449,-0.353,-5.493,-7.751,-11.047
0.632,-0.43,-0.343,-2.136,13.855,-2.502
0.733,-0.428,-0.349,0.427,21.851,3.357
0.769,-0.441,-0.344,2.808,22.217,5.676
0.77,-0.414,-0.316,3.418,19.775,4.333
0.723,-0.435,-0.43,4.333,16.357,3.784
0.705,-0.501,-0.554,5.798,15.32,6.104
0.779,-0.565,-0.558,5.31,15.503,9.216
0.837,-0.573,-0.458,3.784,11.169,11.658
0.804,-0.566,-0.329,2.502,3.418,11.536
0.755,-0.538,-0.258,2.258,-1.221,9.46
0.715,-0.531,-0.228,3.357,0.732,6.958
0.635,-0.514,-0.225,5.493,6.47,6.592
0.638,-0.497,-0.27,8.24,15.015,7.629
0.771,-0.502,-0.412,11.108,24.719,8.911
0.89,-0.579,-0.503,12.817,30.884,9.155
0.948,-0.602,-0.512,12.329,28.687,8.24
0.979,-0.593,-0.463,10.071,20.02,5.676
0.897,-0.609,-0.391,8.789,10.681,2.441
0.749,-0.594,-0.404,8.301,7.935,-1.465
0.642,-0.561,-0.434,6.897,10.742,-4.578
0.629,-0.662,-0.527,5.493,15.259,-5.066
0.712,-0.688,-0.652,3.662,16.541,-2.441
0.7,-0.547,-0.702,-1.404,14.038,0.61
0.579,-0.455,-0.747,-8.24,10.498,2.319
0.569,-0.414,-0.68,-14.099,14.038,4.578
0.792,-0.411,-0.557,-16.113,25.94,11.047
1.107,-0.476,-0.419,-13.0,36.011,16.968
1.348,-0.506,-0.296,-9.094,36.133,15.869
1.421,-0.508,-0.22,-5.981,23.499,7.08
1.294,-0.484,-0.262,-4.395,9.277,-5.92
1.048,-0.521,-0.391,-2.808,2.441,-18.433
0.849,-0.575,-0.367,-2.258,3.296,-25.635
0.77,-0.477,-0.374,-2.075,-0.488,-24.719
0.64,-0.408,-0.43,-3.357,-12.817,-21.057
0.574,-0.489,-0.418,-3.296,-19.714,-13.55
0.644,-0.632,-0.192,-1.648,-19.47,-3.479
0.895,-0.686,-0.04,3.418,-17.883,5.798
0.939,-0.617,-0.067,8.667,-22.827,9.46
0.829,-0.592,-0.22,10.193,-29.053,6.775
0.758,-0.611,-0.366,10.193,-31.616,4.639
0.703,-0.587,-0.564,8.911,-35.645,8.057
0.627,-0.554,-0.697,4.944,-35.706,12.756
0.607,-0.507,-0.725,-1.465,-29.053,15.869
0.668,-0.473,-0.663,-8.362,-19.104,16.785
0.787,-0.44,-0.551,-13.489,-12.207,17.212
0.805,-0.417,-0.411,-15.564,-10.498,16.968
0.815,-0.426,-0.325,-15.808,-12.634,14.343
0.827,-0.453,-0.306,-13.916,-12.512,10.62
0.869,-0.488,-0.282,-10.62,-9.644,6.653
0.865,-0.524,-0.247,-7.141,-5.92,3.052
0.812,-0.539,-0.188,-3.967,-2.136,-0.122
0.726,-0.571,-0.155,-0.366,4.272,-3.906
0.628,-0.62,-0.203,2.991,12.573,-7.629
0.663,-0.639,-0.257,5.31,18.738,-10.193
0.87,-0.646,-0.307,6.836,19.592,-11.414
0.919,-0.635,-0.294,7.874,11.414,-12.634
0.757,-0.555,-0.292,7.751,-1.221,-15.93
0.585,-0.488,-0.285,6.592,-6.47,-20.142
0.461,-0.496,-0.323,6.287,-2.258,-21.118
0.428,-0.516,-0.434,7.507,6.592,-17.456
0.5,-0.552,-0.516,7.935,11.23,-10.986
0.637,-0.6,-0.479,7.263,8.789,-4.883
0.704,-0.581,-0.372,6.531,0.61,-2.136
0.653,-0.523,-0.257,6.226,-6.042,-3.052
0.737,-0.558,-0.238,7.996,-5.066,-5.432
0.913,-0.637,-0.357,11.353,-4.333,-5.676
0.647,-0.606,-0.437,13.672,-12.451,-3.784
0.524,-0.559,-0.475,11.414,-14.587,-5.981
0.692,-0.631,-0.525,8.728,-4.15,-7.935
0.661,-0.681,-0.568,8.606,5.188,-6.836
0.934,-0.563,-0.528,6.592,6.104,-4.822
0.932,-0.37,-0.539,3.357,-3.723,-3.113
0.661,-0.378,-0.715,-1.099,-10.986,-6.958
0.705,-0.41,-0.815,-5.798,-0.305,-7.568
0.65,-0.342,-0.775,-11.78,10.376,-0.549
0.658,-0.293,-0.568,-16.785,13.977,6.226
0.909,-0.306,-0.28,-16.663,20.081,11.902
1.114,-0.343,-0.105,-9.888,21.851,13.916
1.152,-0.353,-0.115,-1.343,17.7,8.545
1.17,-0.381,-0.21,5.981,15.808,-1.282
1.143,-0.416,-0.331,10.62,11.597,-9.155
1.023,-0.523,-0.49,13.611,1.953,-13.977
0.835,-0.598,-0.599,13.855,-8.301,-16.113
0.677,-0.621,-0.627,10.254,-19.348,-16.602
0.472,-0.526,-0.548,4.822,-28.442,-14.587
0.297,-0.448,-0.673,-0.305,-25.085,-10.254
0.33,-0.581,-0.732,-4.15,-0.793,-3.174
0.532,-0.602,-0.743,-5.859,24.841,6.287
0.806,-0.567,-0.659,-10.986,31.25,11.047
1.041,-0.756,-0.24,-10.62,27.771,11.414
1.201,-0.526,0.152,-6.897,-3.357,8.667
0.691,-0.473,0.384,-3.052,-38.879,1.404
0.827,-0.747,0.265,10.559,-33.264,-6.653
0.834,-0.649,-0.078,22.217,-14.893,-11.353
0.504,-0.593,-0.528,22.644,-11.108,-16.846
0.39,-0.7,-0.778,16.357,-3.967,-17.578
0.601,-0.679,-0.8,7.141,3.601,-9.888
0.794,-0.592,-0.739,-2.869,2.563,-2.319
0.897,-0.558,-0.6,-10.132,-3.418,3.418
0.907,-0.53,-0.455,-15.198,-8.789,6.836
0.874,-0.465,-0.316,-16.724,-8.24,7.507
0.829,-0.411,-0.215,-15.564,-3.54,6.226
0.823,-0.397,-0.177,-12.817,1.099,4.089
0.814,-0.43,-0.155,-9.338,3.113,2.991
0.852,-0.523,-0.154,-4.456,1.831,3.418
0.893,-0.608,-0.176,1.099,-2.502,3.174
0.894,-0.649,-0.244,4.944,-8.728,1.282
0.817,-0.656,-0.299,5.432,-13.977,-1.709
0.771,-0.644,-0.337,4.456,-14.709,-3.723
0.773,-0.648,-0.362,4.211,-11.169,-4.761
0.728,-0.663,-0.42,3.845,-5.432,-4.333
0.66,-0.695,-0.45,2.502,2.747,-5.859
0.626,-0.691,-0.376,0.488,11.536,-7.629
0.611,-0.637,-0.306,-0.671,18.372,-9.033
0.633,-0.586,-0.338,-0.366,22.827,-11.536
0.635,-0.542,-0.393,-0.061,22.217,-13.55
0.621,-0.476,-0.474,-0.305,14.893,-12.329
0.622,-0.45,-0.491,-0.122,8.179,-11.536
0.653,-0.46,-0.437,0.366,4.822,-11.353
0.709,-0.491,-0.385,1.221,4.7,-12.756
0.696,-0.544,-0.348,2.747,4.578,-14.526
0.654,-0.578,-0.295,4.456,3.662,-15.747
0.655,-0.633,-0.23,6.653,2.563,-15.381
0.61,-0.664,-0.129,10.559,0.0,-13.062
0.634,-0.608,-0.123,14.771,-2.991,-10.742
0.7,-0.615,-0.367,17.334,-6.775,-8.179
0.449,-0.602,-0.445,16.907,-16.724,-4.028
0.501,-0.489,-0.379,14.038,-16.418,-0.793
0.903,-0.593,-0.449,15.015,4.028,0.61
1.274,-0.681,-0.686,16.724,11.963,2.808
0.954,-0.428,-0.769,10.437,-6.653,4.089
0.636,-0.413,-0.852,-1.038,-19.348,-1.221
0.586,-0.484,-0.902,-9.033,-10.803,0.244
0.599,-0.374,-0.799,-16.968,-3.174,11.169
0.669,-0.432,-0.568,-21.912,0.183,22.339
0.86,-0.476,-0.335,-21.973,6.165,28.503
0.928,-0.453,-0.208,-19.165,9.094,27.344
0.967,-0.445,-0.188,-14.954,9.583,20.874
1.076,-0.48,-0.185,-8.606,14.099,14.526
1.113,-0.513,-0.357,-2.441,19.226,8.545
0.962,-0.547,-0.595,-1.038,14.587,3.052
0.756,-0.555,-0.643,-4.944,3.052,2.075
0.6,-0.515,-0.554,-9.46,-0.305,4.272
0.748,-0.538,-0.77,-12.451,3.601,7.019
0.964,-0.855,-0.797,-16.541,1.648,10.803
0.856,-0.833,-0.214,-19.348,-15.869,15.808
0.622,-0.329,0.057,-20.02,-47.668,15.259
0.543,-0.422,0.245,-15.015,-52.307,8.362
0.767,-0.801,0.34,0.549,-31.372,8.728
0.871,-0.7,0.114,14.16,-19.714,8.972
0.563,-0.561,-0.256,17.334,-17.212,0.61
0.514,-0.568,-0.544,14.221,-8.789,-4.822
0.491,-0.526,-0.735,9.277,1.648,-3.784
0.505,-0.489,-0.858,3.174,8.301,4.578
0.699,-0.517,-0.814,-3.418,12.878,13.184
0.909,-0.495,-0.651,-10.681,8.789,18.555
0.984,-0.456,-0.439,-16.052,-5.005,20.508
0.923,-0.442,-0.23,-18.738,-16.968,18.372
0.953,-0.441,-0.083,-17.273,-17.334,13.123
1.003,-0.417,0.023,-12.024,-8.545,7.996
1.07,-0.37,0.038,-4.456,-0.916,3.723
1.064,-0.383,-0.056,3.418,0.916,-1.587
0.938,-0.491,-0.219,9.094,-1.099,-8.545
0.797,-0.617,-0.39,11.414,-2.319,-14.771
0.742,-0.724,-0.466,12.268,-3.967,-17.09
0.666,-0.744,-0.424,11.902,-7.507,-15.076
0.572,-0.702,-0.33,10.437,-7.08,-13.855
0.52,-0.667,-0.251,9.705,1.099,-15.198
0.54,-0.652,-0.234,10.437,11.108,-17.029
0.609,-0.629,-0.283,11.475,16.479,-17.639
0.708,-0.62,-0.331,12.207,16.724,-18.25
0.68,-0.622,-0.413,11.902,14.038,-20.386
0.613,-0.571,-0.568,9.399,10.376,-22.888
0.568,-0.537,-0.645,5.31,7.507,-23.315
0.528,-0.567,-0.619,1.465,8.789,-21.301
0.642,-0.574,-0.554,-1.526,15.503,-18.677
0.739,-0.548,-0.455,-2.38,19.226,-15.991
0.723,-0.499,-0.331,-2.686,17.029,-15.625
0.713,-0.471,-0.26,-1.77,14.587,-16.968
0.701,-0.434,-0.226,1.221,13.733,-16.663
0.602,-0.417,-0.323,4.333,15.686,-14.587
0.712,-0.512,-0.483,6.592,19.226,-11.169
0.578,-0.543,-0.545,7.385,17.395,-4.272
0.563,-0.448,-0.623,4.395,13.733,-0.366
0.601,-0.432,-0.659,0.854,13.672,3.662
0.628,-0.422,-0.658,-2.441,13.794,9.399
0.622,-0.386,-0.61,-5.92,16.479,14.587
0.636,-0.403,-0.57,-7.019,24.231,19.287
0.74,-0.454,-0.523,-6.714,33.813,21.851
0.862,-0.496,-0.445,-5.188,37.781,23.254
0.994,-0.506,-0.36,-2.808,32.532,23.804
1.007,-0.547,-0.316,0.366,21.973,20.935
0.969,-0.569,-0.332,2.808,12.268,14.465
0.962,-0.601,-0.356,4.333,6.531,7.324
0.895,-0.655,-0.382,5.371,5.432,1.099
0.906,-0.661,-0.438,5.432,6.897,-3.357
0.908,-0.628,-0.483,4.15,9.766,-7.263
0.863,-0.619,-0.447,1.648,6.409,-8.789
0.861,-0.567,-0.339,0.061,0.244,-7.324
0.887,-0.462,-0.17,1.038,-4.761,-5.493
0.896,-0.598,0.113,6.287,-5.737,-4.395
1.364,-0.863,0.166,20.264,-2.625,-3.662
1.22,-0.796,-0.034,29.236,-13.123,-9.277
0.77,-0.745,-0.36,27.588,-32.104,-23.071
0.629,-0.693,-0.604,22.583,-38.818,-30.151
0.607,-0.602,-0.774,15.076,-40.283,-25.574
0.572,-0.558,-0.861,7.385,-42.114,-15.625
0.54,-0.533,-0.803,-0.244,-41.199,-7.08
0.535,-0.464,-0.65,-8.789,-35.95,-4.272
0.572,-0.415,-0.483,-14.16,-26.55,-3.174
0.668,-0.417,-0.349,-14.221,-14.893,-1.465
0.783,-0.435,-0.285,-11.23,-4.883,-0.122
0.869,-0.47,-0.282,-7.446,2.93,-0.916
0.932,-0.499,-0.264,-3.723,8.118,-3.174
0.96,-0.521,-0.237,-0.61,8.911,-5.859
0.923,-0.558,-0.227,2.93,5.859,-8.911
0.799,-0.623,-0.267,6.348,3.967,-12.39
0.697,-0.67,-0.297,8.728,4.578,-15.32
0.65,-0.688,-0.336,9.521,7.385,-16.541
0.63,-0.707,-0.334,10.01,8.85,-15.381
0.56,-0.726,-0.36,9.827,7.812,-13.0
0.432,-0.699,-0.378,8.423,5.615,-10.498
0.319,-0.629,-0.39,6.226,5.798,-6.409
0.31,-0.575,-0.389,4.639,11.353,-0.854
0.482,-0.588,-0.363,4.944,19.226,6.653
0.676,-0.608,-0.388,6.531,22.278,14.099
0.816,-0.603,-0.419,7.08,17.822,17.09
0.849,-0.647,-0.405,6.714,9.46,14.587
0.854,-0.652,-0.339,6.653,1.099,9.094
0.863,-0.612,-0.206,7.446,-3.357,2.563
0.854,-0.576,-0.081,10.681,-1.831,-4.333
1.062,-0.612,-0.37,15.198,-2.319,-9.827
0.566,-0.501,-0.316,15.442,-18.25,-10.803
0.338,-0.487,-0.451,13.184,-27.527,-16.846
0.831,-0.496,-0.516,11.841,-7.446,-16.968
1.402,-0.863,-0.649,15.503,12.085,-15.747
1.55,-0.548,-0.504,13.062,-17.822,-7.507
0.899,-0.415,-0.584,5.981,-59.082,-17.212
0.73,-0.593,-0.72,1.892,-62.256,-32.41
0.849,-0.482,-0.731,-4.211,-39.612,-29.602
0.716,-0.491,-0.783,-8.484,-31.067,-20.569
0.613,-0.504,-0.729,-13.184,-32.715,-10.681
0.592,-0.488,-0.605,-18.677,-32.593,-0.916
0.479,-0.493,-0.53,-23.437,-34.851,5.31
0.358,-0.509,-0.456,-26.306,-37.903,12.878
0.417,-0.544,-0.277,-25.085,-38.147,23.987
0.581,-0.522,-0.124,-21.301,-42.419,35.095
0.699,-0.519,0.047,-15.076,-47.363,41.26
0.729,-0.544,0.055,-6.348,-35.461,38.147
0.934,-0.496,-0.072,1.16,-12.329,28.992
0.936,-0.467,-0.353,6.897,-2.563,23.01
0.37,-0.389,-0.652,5.737,-7.202,20.325
-0.139,-0.371,-0.658,-1.282,-3.357,22.583
0.264,-0.508,-0.627,-3.662,14.648,33.264
0.856,-0.644,-0.616,-2.014,23.437,46.814
0.684,-0.522,-1.068,-7.263,8.728,52.429
-0.024,-0.476,-0.829,-25.208,0.366,49.866
-0.054,-0.428,-0.599,-32.532,21.301,53.04
0.575,-0.199,-0.171,-30.029,68.298,62.561
0.893,-0.535,-0.234,-14.16,135.376,52.185
1.867,-0.901,-0.164,-4.7,134.521,33.325
1.734,-0.506,0.032,-4.089,54.138,29.907
1.175,-0.469,0.044,-3.113,-17.151,5.31
1.168,-0.659,0.063,4.639,-30.945,-15.808
1.117,-0.632,0.016,10.681,-16.541,-27.283
0.963,-0.587,-0.115,14.587,-5.554,-37.17
0.844,-0.623,-0.259,15.32,8.545,-43.457
0.778,-0.724,-0.333,14.587,20.142,-42.664
