aX,aY,aZ,gX,gY,gZ
1.044,0.019,0.47,-113.22,-71.35,-21.301
1.017,-0.079,0.396,-113.22,-83.618,-22.339
0.781,-0.118,0.687,-112.61,-107.666,-15.381
0.683,-0.028,0.854,-110.168,-138.123,-5.371
0.469,-0.117,0.957,-101.807,-138.489,-9.583
0.416,-0.011,1.176,-85.999,-118.591,-18.311
0.345,0.035,1.42,-66.406,-93.628,-19.653
0.334,0.061,1.5,-52.795,-56.702,-21.484
0.528,-0.034,1.444,-35.522,-14.16,-22.705
0.582,-0.165,1.307,-15.686,7.812,-13.855
0.633,-0.248,1.161,2.136,4.333,-2.625
0.697,-0.226,1.052,14.648,-12.39,2.93
0.692,-0.221,0.947,22.217,-30.64,2.625
0.685,-0.248,0.842,26.978,-43.396,0.061
0.695,-0.252,0.767,29.602,-50.171,-3.113
0.692,-0.249,0.712,30.884,-54.016,-5.981
0.674,-0.271,0.66,31.799,-57.8,-7.141
0.671,-0.286,0.616,32.471,-63.416,-6.531
0.694,-0.287,0.602,32.776,-69.946,-5.493
0.741,-0.292,0.603,33.936,-76.721,-4.089
0.763,-0.319,0.602,34.058,-85.571,-1.892
0.724,-0.291,0.589,32.593,-96.313,3.845
0.635,-0.221,0.588,30.334,-106.506,10.254
0.491,-0.181,0.584,27.588,-110.901,14.221
0.428,-0.15,0.578,25.696,-106.018,17.7
0.487,-0.079,0.57,24.17,-93.323,20.63
0.628,0.006,0.569,24.719,-79.59,23.804
0.767,0.051,0.545,25.024,-71.472,27.893
0.725,0.018,0.332,21.179,-65.979,31.494
0.633,0.042,0.13,12.207,-54.626,30.396
0.787,0.171,0.258,7.507,-32.593,21.057
1.223,0.251,0.421,9.277,-11.536,11.719
1.469,0.217,0.52,10.315,-14.221,12.146
1.279,0.083,0.51,4.517,-41.626,21.423
0.981,-0.019,0.46,-4.15,-70.374,26.917
0.866,-0.072,0.405,-10.254,-76.416,17.944
0.936,-0.063,0.39,-13.977,-61.462,4.639
0.993,-0.033,0.416,-16.663,-44.373,-0.427
0.885,-0.081,0.379,-19.531,-34.485,3.052
0.738,-0.146,0.399,-25.635,-30.701,5.737
0.722,-0.212,0.462,-32.532,-22.217,2.197
0.852,-0.192,0.541,-37.292,-5.066,-4.578
0.949,-0.135,0.58,-40.222,11.658,-11.414
0.984,-0.159,0.6,-42.358,20.203,-14.771
0.965,-0.206,0.639,-43.945,23.56,-17.944
0.965,-0.193,0.647,-44.312,28.503,-25.024
0.935,-0.176,0.729,-45.349,32.715,-34.119
0.805,-0.177,0.911,-44.373,29.053,-37.781
0.661,-0.222,1.114,-36.682,16.235,-35.034
0.482,-0.181,1.235,-26.489,-0.183,-34.546
0.357,-0.132,1.271,-18.066,-10.437,-37.781
0.328,-0.196,1.212,-9.155,-8.85,-41.626
0.35,-0.256,1.138,-0.305,-0.61,-42.236
0.357,-0.262,1.074,7.019,5.554,-39.612
0.313,-0.259,1.008,11.963,5.31,-35.4
0.242,-0.259,0.931,15.503,2.014,-29.968
0.215,-0.246,0.865,18.494,-0.305,-25.024
0.257,-0.215,0.8,21.545,-1.465,-21.729
0.306,-0.2,0.74,23.865,-2.075,-18.738
0.339,-0.203,0.699,24.963,-3.723,-14.099
0.346,-0.206,0.656,25.024,-7.019,-7.446
0.372,-0.202,0.641,24.17,-12.085,-0.977
0.407,-0.19,0.664,22.766,-19.287,5.676
0.446,-0.172,0.705,21.362,-28.076,12.756
0.514,-0.125,0.763,20.02,-37.659,19.165
0.565,-0.054,0.833,19.531,-43.518,23.499
0.625,-0.05,0.821,20.996,-45.654,27.466
