aX,aY,aZ,gX,gY,gZ
0.591,-0.317,0.741,-0.061,0.061,0.305
0.592,-0.317,0.741,0.122,0.244,0.427
0.593,-0.318,0.742,-0.183,0.183,0.549
0.592,-0.319,0.743,-0.244,0.061,0.549
0.593,-0.318,0.743,-0.122,0.061,0.549
0.592,-0.318,0.744,-0.061,-0.061,0.488
0.592,-0.317,0.743,-0.122,0.061,0.549
0.592,-0.316,0.742,-0.122,0.061,0.488
0.592,-0.315,0.74,-0.183,-0.061,0.366
0.591,-0.315,0.74,-0.244,-0.366,0.244
0.591,-0.314,0.74,-0.305,-0.305,0.244
0.592,-0.314,0.74,-0.305,-0.122,0.183
0.593,-0.314,0.74,-0.305,-0.244,0.244
0.592,-0.315,0.74,-0.305,-0.366,0.061
0.593,-0.317,0.742,-0.183,-0.427,0.0
0.592,-0.315,0.74,-0.183,-0.488,0.0
0.591,-0.315,0.74,-0.183,-0.305,-0.122
0.591,-0.315,0.74,-0.122,-0.305,-0.305
0.592,-0.315,0.739,0.0,-0.305,-0.244
0.594,-0.314,0.739,0.061,-0.183,-0.427
0.593,-0.314,0.74,0.061,-0.183,-0.427
0.592,-0.314,0.741,-0.061,-0.244,-0.244
0.592,-0.316,0.74,0.183,-0.305,-0.305
0.591,-0.316,0.741,0.122,-0.244,-0.488
0.591,-0.315,0.742,0.305,-0.244,-0.488
0.59,-0.314,0.741,0.427,-0.183,-0.366
0.59,-0.315,0.74,0.244,-0.183,-0.488
0.591,-0.314,0.74,0.183,0.122,-0.488
0.591,-0.313,0.741,0.488,0.061,-0.488
0.592,-0.313,0.741,0.671,0.244,-0.305
0.593,-0.313,0.739,0.854,0.244,-0.366
0.593,-0.314,0.74,0.854,0.183,-0.488
0.592,-0.315,0.74,0.854,0.0,-0.549
0.592,-0.317,0.741,0.854,-0.061,-0.61
0.592,-0.317,0.741,0.977,-0.183,-0.549
0.592,-0.318,0.74,1.099,-0.122,-0.488
0.591,-0.319,0.74,0.977,0.0,-0.549
0.591,-0.318,0.741,0.916,0.122,-0.61
0.591,-0.317,0.74,0.793,0.122,-0.427
0.592,-0.317,0.74,1.038,0.244,-0.549
0.593,-0.316,0.74,1.099,0.244,-0.671
0.592,-0.316,0.738,0.916,0.061,-0.671
0.593,-0.316,0.739,1.099,-0.061,-0.732
0.594,-0.317,0.741,1.221,-0.122,-0.732
0.592,-0.318,0.74,0.977,-0.183,-0.61
0.591,-0.318,0.741,0.977,-0.061,-0.732
0.591,-0.318,0.742,1.099,-0.061,-0.671
0.59,-0.318,0.743,1.16,0.061,-0.671
0.59,-0.317,0.746,1.038,0.183,-0.793
0.591,-0.322,0.744,1.221,0.427,-0.732
0.59,-0.322,0.743,0.916,0.244,-0.61
0.588,-0.321,0.741,0.916,0.244,-0.732
0.588,-0.319,0.74,0.977,0.366,-0.671
0.587,-0.316,0.743,0.916,0.488,-0.793
0.589,-0.317,0.742,0.916,0.671,-0.793
0.595,-0.323,0.738,0.916,0.793,-0.793
0.596,-0.322,0.737,0.671,0.427,-0.793
0.594,-0.32,0.739,0.916,-0.061,-0.732
0.591,-0.322,0.741,0.854,-0.183,-0.793
0.591,-0.322,0.741,0.793,-0.244,-0.916
0.591,-0.322,0.741,0.671,-0.122,-1.038
0.59,-0.322,0.741,0.488,0.122,-0.916
0.591,-0.322,0.742,0.366,0.305,-0.854
0.591,-0.322,0.741,0.427,0.244,-0.793
0.592,-0.321,0.741,0.244,0.061,-0.732
0.592,-0.322,0.74,0.183,0.061,-0.854
0.591,-0.321,0.739,0.244,0.0,-0.916
0.591,-0.321,0.739,0.0,0.183,-1.038
0.592,-0.319,0.74,0.0,0.183,-0.977
0.593,-0.318,0.74,0.122,0.061,-0.916
0.593,-0.319,0.741,0.061,-0.122,-0.916
0.591,-0.319,0.74,0.122,-0.122,-0.977
0.591,-0.32,0.741,0.244,-0.366,-0.977
0.589,-0.321,0.74,0.305,-0.488,-0.916
0.591,-0.32,0.741,0.305,-0.305,-0.977
0.59,-0.321,0.74,0.244,-0.244,-0.916
0.589,-0.32,0.739,0.366,-0.122,-0.916
0.59,-0.322,0.738,0.549,-0.061,-0.916
0.593,-0.322,0.739,0.549,-0.061,-0.916
0.593,-0.321,0.739,0.427,0.0,-1.038
0.594,-0.32,0.74,0.366,-0.122,-0.977
0.594,-0.319,0.739,0.671,-0.122,-0.977
0.593,-0.321,0.738,0.732,-0.183,-0.793
0.592,-0.321,0.739,0.732,-0.183,-0.916
0.589,-0.323,0.741,0.793,-0.305,-0.732
0.59,-0.323,0.742,0.732,-0.244,-0.671
0.59,-0.324,0.739,0.854,-0.061,-0.671
0.592,-0.324,0.739,0.916,0.122,-0.732
0.59,-0.325,0.739,0.916,0.122,-0.549
0.59,-0.325,0.74,0.854,0.183,-0.671
0.591,-0.324,0.741,0.916,0.183,-0.61
0.591,-0.324,0.74,0.916,0.061,-0.61
0.59,-0.325,0.74,1.16,0.061,-0.61
0.592,-0.324,0.739,1.282,-0.061,-0.732
0.592,-0.325,0.738,1.221,-0.305,-0.793
0.587,-0.324,0.741,0.916,-0.427,-0.732
0.586,-0.324,0.742,0.977,-0.427,-0.732
0.587,-0.324,0.742,1.038,0.061,-0.854
0.59,-0.323,0.743,1.282,0.183,-0.793
0.591,-0.324,0.743,1.221,0.244,-0.549
0.59,-0.325,0.743,1.099,0.244,-0.549
0.59,-0.328,0.742,0.854,0.122,-0.488
0.59,-0.328,0.741,0.732,0.305,-0.549
0.59,-0.328,0.74,0.793,0.305,-0.549
0.588,-0.327,0.739,0.793,0.366,-0.549
0.589,-0.327,0.739,0.977,0.549,-0.61
0.59,-0.326,0.74,0.854,0.61,-0.793
0.592,-0.328,0.741,0.732,0.549,-0.793
0.59,-0.326,0.74,0.61,0.244,-0.854
0.59,-0.326,0.74,0.488,0.183,-0.732
0.589,-0.326,0.74,0.549,0.122,-1.038
0.589,-0.326,0.74,0.732,0.061,-0.977
0.588,-0.326,0.741,0.793,0.061,-0.916
0.589,-0.326,0.74,0.549,0.122,-0.916
0.588,-0.326,0.741,0.488,0.244,-0.793
0.588,-0.326,0.74,0.732,0.549,-0.854
0.589,-0.326,0.739,0.732,0.305,-0.793
0.589,-0.326,0.739,0.732,0.183,-0.732
0.59,-0.326,0.741,0.793,0.0,-0.854
0.59,-0.328,0.74,0.549,0.061,-0.916
0.59,-0.328,0.741,0.366,0.244,-0.854
0.59,-0.328,0.74,0.427,0.366,-0.671
0.589,-0.329,0.738,0.488,0.244,-0.793
0.588,-0.328,0.738,0.61,0.305,-0.854
0.589,-0.328,0.739,0.61,0.488,-0.916
0.589,-0.328,0.738,0.366,0.61,-0.793
0.591,-0.328,0.738,0.427,0.61,-0.854
0.592,-0.328,0.738,0.671,0.671,-0.916
0.592,-0.328,0.738,0.732,0.427,-0.854
0.592,-0.329,0.738,0.549,0.244,-0.854
0.591,-0.328,0.74,0.732,0.061,-0.854
0.59,-0.329,0.742,0.366,-0.122,-0.854
0.589,-0.328,0.742,0.427,0.122,-0.732
0.588,-0.33,0.742,0.549,0.305,-0.793
0.587,-0.331,0.739,0.671,0.488,-0.732
0.589,-0.329,0.738,0.61,0.671,-0.732
0.592,-0.33,0.739,0.488,0.732,-0.732
0.59,-0.328,0.739,0.427,0.732,-0.61
0.589,-0.326,0.739,0.366,0.732,-0.61
0.591,-0.326,0.737,0.488,0.427,-0.671
0.592,-0.328,0.737,0.732,0.244,-0.732
0.591,-0.326,0.737,0.61,0.122,-0.793
0.591,-0.328,0.738,0.549,0.0,-0.854
0.589,-0.328,0.737,0.488,-0.061,-0.671
