aX,aY,aZ,gX,gY,gZ
0.615,-0.05,0.605,-13.672,19.653,44.495
0.752,-0.0,0.685,-13.0,21.606,43.884
0.868,0.029,0.703,-10.01,26.123,40.588
0.91,0.042,0.676,-7.324,26.001,42.236
0.877,0.046,0.624,-5.371,18.372,47.729
0.829,0.006,0.54,-5.31,8.545,50.659
0.793,0.036,0.486,-6.897,3.54,50.11
0.821,0.103,0.45,-10.254,5.371,47.18
0.895,0.153,0.429,-13.367,9.338,44.312
1.019,0.184,0.432,-16.052,9.888,42.053
1.128,0.226,0.452,-18.738,6.592,38.94
1.247,0.275,0.491,-20.935,1.648,33.875
1.377,0.335,0.557,-21.851,-4.883,27.1
1.431,0.386,0.612,-21.667,-12.817,19.836
1.368,0.394,0.603,-20.569,-22.339,12.512
1.274,0.374,0.594,-19.226,-33.02,7.263
1.212,0.371,0.607,-17.151,-40.955,3.052
1.157,0.361,0.654,-14.893,-44.128,-3.235
1.15,0.35,0.734,-10.803,-45.227,-9.766
1.017,0.426,0.793,-6.836,-44.617,-14.954
0.936,0.335,0.804,-2.38,-38.33,-23.071
0.897,0.253,0.773,1.343,-20.508,-30.151
0.903,0.194,0.686,0.183,1.648,-37.415
0.873,0.134,0.568,-0.122,20.691,-40.405
0.824,0.123,0.459,-0.61,29.053,-36.438
0.813,0.081,0.45,-1.038,27.588,-39.917
0.785,0.003,0.483,-0.916,24.719,-47.485
0.715,-0.001,0.522,-1.343,23.071,-44.434
0.603,-0.083,0.512,-1.404,23.193,-38.635
0.57,-0.151,0.476,-2.808,26.917,-33.691
0.578,-0.113,0.476,-6.226,33.142,-31.067
0.548,-0.093,0.475,-9.521,33.936,-28.992
0.491,-0.118,0.462,-12.085,28.748,-24.292
0.46,-0.146,0.463,-13.489,21.912,-18.188
0.432,-0.173,0.474,-14.709,14.526,-12.695
0.42,-0.147,0.505,-15.198,5.554,-6.226
0.452,-0.094,0.586,-14.709,-4.15,-0.244
0.444,-0.092,0.645,-12.39,-11.841,4.578
0.443,-0.083,0.68,-10.62,-16.052,9.338
0.489,-0.062,0.741,-8.362,-15.259,13.489
0.491,-0.041,0.808,-5.31,-11.841,15.747
0.496,-0.094,0.871,-0.977,-7.874,16.663
0.444,-0.135,0.844,1.831,-0.427,19.592
0.444,-0.166,0.788,2.808,11.597,23.743
0.475,-0.157,0.714,2.502,27.71,27.1
0.54,-0.131,0.663,1.404,41.565,31.86
0.63,-0.087,0.611,1.404,47.913,38.269
0.678,-0.059,0.54,1.892,44.128,44.617
0.688,-0.054,0.49,1.587,32.227,50.354
0.806,-0.038,0.473,1.099,16.663,55.725
1.018,0.026,0.519,1.038,2.686,56.824
1.022,0.107,0.556,0.244,-8.362,53.406
0.884,0.095,0.588,-0.122,-22.339,55.054
0.754,0.114,0.621,-0.061,-33.63,63.232
0.557,0.185,0.504,-2.869,-31.616,64.88
0.459,0.146,0.411,-9.827,-18.066,59.998
0.427,0.234,0.285,-17.578,5.188,60.913
0.775,0.268,0.333,-25.146,29.907,61.035
1.208,0.45,0.467,-29.602,49.194,55.298
1.471,0.589,0.536,-33.081,52.429,44.312
1.522,0.618,0.554,-31.677,34.668,38.574
1.456,0.604,0.557,-27.283,9.338,36.316
1.395,0.626,0.497,-25.146,-6.47,28.381
1.272,0.623,0.407,-25.818,-8.545,15.32
1.214,0.591,0.338,-26.123,-6.714,5.92
1.229,0.563,0.342,-24.048,-9.766,0.427
1.193,0.559,0.402,-21.179,-17.578,-5.493
1.094,0.507,0.494,-17.822,-26.367,-12.634
1.022,0.442,0.591,-12.207,-33.02,-15.808
1.02,0.472,0.723,-5.737,-39.063,-16.602
0.912,0.497,0.841,0.488,-40.466,-23.071
0.859,0.38,0.877,5.676,-32.41,-30.396
0.933,0.36,0.835,10.132,-14.648,-31.86
1.007,0.334,0.787,12.756,2.258,-35.339
0.994,0.298,0.72,14.404,12.878,-37.964
0.9,0.237,0.625,15.564,18.616,-37.109
0.819,0.174,0.526,15.32,25.269,-37.659
0.815,0.096,0.41,11.902,35.767,-41.626
0.76,0.082,0.225,8.362,43.335,-38.513
0.692,0.136,0.213,2.441,37.842,-37.048
0.715,-0.014,0.27,0.61,25.635,-49.072
0.665,-0.003,0.371,-1.831,14.099,-50.11
0.588,-0.009,0.454,-2.502,5.371,-42.236
0.514,-0.108,0.478,-1.16,0.061,-32.349
0.481,-0.07,0.51,-1.892,-3.54,-25.085
0.464,-0.073,0.536,-4.517,-10.071,-22.461
0.404,-0.112,0.535,-4.761,-19.897,-15.564
0.318,-0.135,0.525,-3.723,-30.151,-4.761
0.296,-0.163,0.519,-3.54,-36.56,3.906
0.383,-0.121,0.56,-4.272,-38.94,10.132
0.424,-0.061,0.618,-5.249,-38.025,13.916
0.382,-0.065,0.679,-4.7,-36.621,18.372
0.402,-0.083,0.689,-3.906,-30.884,23.437
0.437,-0.064,0.685,-4.639,-20.02,26.611
0.448,-0.037,0.673,-5.798,-7.996,28.687
0.506,-0.014,0.66,-6.653,4.089,31.189
0.591,-0.001,0.715,-6.836,12.756,34.973
0.651,0.041,0.756,-5.371,18.86,39.185
0.712,0.056,0.772,-3.296,23.071,42.053
0.748,0.082,0.792,-0.488,26.917,43.945
0.866,0.083,0.737,2.502,32.593,44.128
0.966,0.096,0.667,5.981,34.973,45.349
0.984,0.148,0.593,8.179,27.466,50.781
0.906,0.156,0.527,8.179,11.047,56.458
0.764,0.162,0.471,7.08,-4.028,60.303
0.601,0.211,0.388,3.479,-7.507,59.692
0.53,0.228,0.283,-2.441,-0.244,57.739
0.521,0.231,0.172,-8.301,11.719,56.885
0.947,0.295,0.306,-13.794,21.545,55.176
1.39,0.566,0.473,-16.235,29.236,46.631
1.41,0.644,0.518,-17.334,19.226,33.142
1.189,0.539,0.586,-11.169,-8.667,36.682
1.054,0.457,0.629,-6.348,-27.649,42.236
1.027,0.453,0.621,-7.935,-21.24,31.372
1.036,0.52,0.619,-12.268,-1.465,14.099
1.071,0.585,0.593,-14.526,14.404,7.263
1.0,0.521,0.479,-12.695,22.095,8.362
0.948,0.493,0.399,-11.292,23.743,5.981
1.044,0.546,0.384,-11.597,22.583,-1.709
1.152,0.585,0.434,-10.681,16.357,-8.789
1.167,0.548,0.504,-7.69,1.404,-12.695
1.102,0.463,0.547,-4.15,-18.677,-15.93
0.957,0.453,0.582,-1.831,-32.715,-19.104
