aX,aY,aZ,gX,gY,gZ
0.56,-0.524,-0.842,-17.7,-9.827,35.156
0.531,-0.497,-0.807,-18.433,-14.709,31.616
0.568,-0.457,-0.759,-18.066,-11.353,28.442
0.642,-0.46,-0.709,-16.418,-4.822,25.269
0.73,-0.463,-0.678,-14.893,-3.967,21.484
0.778,-0.411,-0.642,-13.245,-6.958,13.611
0.778,-0.337,-0.626,-11.23,-8.423,3.54
0.808,-0.243,-0.626,-7.996,-7.935,-4.761
0.797,-0.198,-0.631,-3.906,-7.202,-12.878
0.707,-0.215,-0.692,-0.305,-9.155,-21.118
0.624,-0.243,-0.765,2.502,-13.672,-27.649
0.587,-0.248,-0.832,4.089,-17.456,-31.616
0.539,-0.232,-0.878,5.066,-19.165,-32.593
0.473,-0.253,-0.914,5.859,-19.409,-32.471
0.429,-0.268,-0.917,5.92,-17.456,-31.799
0.398,-0.282,-0.884,6.165,-13.184,-29.846
0.392,-0.291,-0.828,6.592,-7.935,-27.466
0.432,-0.303,-0.795,7.507,-2.991,-25.513
0.484,-0.314,-0.778,9.155,1.709,-24.414
0.5,-0.329,-0.761,11.169,5.066,-23.987
0.491,-0.356,-0.746,13.306,7.08,-24.048
0.477,-0.375,-0.76,15.93,9.583,-24.841
0.452,-0.395,-0.798,17.944,9.827,-24.719
0.406,-0.391,-0.855,18.799,8.179,-24.048
0.402,-0.393,-0.883,18.494,6.714,-23.804
0.39,-0.378,-0.894,17.09,4.7,-23.437
0.355,-0.383,-0.902,15.137,1.404,-22.522
0.306,-0.395,-0.896,12.756,-2.686,-20.874
0.272,-0.4,-0.883,10.254,-5.432,-18.738
0.251,-0.398,-0.866,7.874,-6.653,-15.503
0.206,-0.417,-0.85,6.592,-6.287,-11.23
0.208,-0.419,-0.846,5.859,-3.723,-6.653
0.239,-0.43,-0.839,5.127,0.488,-2.38
0.253,-0.443,-0.844,4.7,4.578,1.892
0.243,-0.443,-0.854,4.272,9.033,6.226
0.27,-0.439,-0.873,3.723,13.733,9.644
0.268,-0.448,-0.905,3.296,15.808,13.184
0.246,-0.452,-0.923,2.563,15.381,16.479
0.255,-0.451,-0.915,1.526,14.343,18.677
0.246,-0.445,-0.909,0.305,11.414,21.423
0.24,-0.435,-0.91,-1.038,8.606,24.353
0.253,-0.447,-0.9,-2.38,7.874,26.428
0.288,-0.458,-0.887,-3.723,9.216,27.954
0.341,-0.465,-0.872,-4.883,10.864,29.785
0.406,-0.479,-0.863,-5.859,11.78,30.701
0.462,-0.492,-0.821,-6.714,11.047,29.968
0.505,-0.443,-0.751,-7.019,8.789,28.503
0.46,-0.435,-0.774,-7.141,4.639,28.015
0.44,-0.498,-0.808,-7.202,0.122,27.649
0.476,-0.524,-0.832,-8.24,-3.967,27.283
0.461,-0.532,-0.838,-10.254,-10.498,26.733
0.441,-0.52,-0.828,-11.719,-16.846,25.574
0.451,-0.492,-0.819,-12.695,-17.578,23.987
0.507,-0.477,-0.787,-13.062,-14.221,22.4
0.572,-0.472,-0.732,-12.085,-10.01,20.081
0.646,-0.448,-0.684,-10.925,-7.385,15.686
0.684,-0.429,-0.665,-8.728,-5.92,9.277
0.677,-0.367,-0.659,-6.226,-5.432,2.319
0.753,-0.271,-0.66,-3.296,-4.761,-5.798
0.734,-0.271,-0.717,0.183,-5.127,-14.282
0.658,-0.296,-0.787,2.991,-9.888,-20.569
0.587,-0.285,-0.856,4.7,-16.418,-25.33
0.567,-0.249,-0.889,5.066,-22.095,-29.724
0.568,-0.269,-0.904,5.737,-26.001,-32.593
0.541,-0.301,-0.901,6.409,-27.771,-33.386
0.508,-0.32,-0.887,7.08,-26.123,-34.119
0.486,-0.344,-0.85,8.118,-21.729,-35.4
0.468,-0.362,-0.808,9.705,-15.442,-36.316
0.457,-0.387,-0.777,11.963,-8.423,-36.804
0.445,-0.415,-0.78,14.587,-1.282,-37.231
0.408,-0.428,-0.806,17.029,3.967,-37.537
0.432,-0.423,-0.845,18.372,6.958,-36.865
