aX,aY,aZ,gX,gY,gZ
1.423,0.283,-0.498,-12.878,397.949,9.277
1.478,0.228,-0.677,-17.334,354.98,8.118
1.456,0.067,-0.724,-22.827,302.734,11.414
1.354,-0.001,-0.7,-28.381,246.46,13.672
1.329,0.064,-0.556,-33.02,195.068,11.169
1.244,0.058,-0.307,-33.691,152.588,2.93
1.056,0.073,-0.207,-27.1,113.037,0.854
1.042,0.249,-0.135,-19.836,67.932,-0.366
1.032,0.383,-0.096,-12.939,22.4,-3.906
1.184,0.439,-0.038,-6.531,-31.86,-7.751
1.315,0.44,-0.045,-0.854,-104.675,-8.972
1.325,0.396,-0.049,4.211,-184.509,-9.094
1.075,0.315,-0.032,8.728,-255.31,-7.812
0.766,0.211,-0.034,13.367,-300.903,-5.127
0.706,0.077,-0.09,21.667,-324.463,-1.953
0.718,-0.033,-0.111,31.677,-344.177,10.803
0.519,-0.032,0.022,34.546,-355.957,24.475
0.641,0.008,0.263,35.95,-352.966,29.419
0.973,0.096,0.414,37.231,-337.891,28.503
0.797,0.186,0.502,35.4,-327.209,28.076
0.532,0.302,0.495,32.898,-328.308,33.142
0.57,0.406,0.335,26.733,-319.031,29.114
0.805,0.316,0.142,17.7,-298.584,15.198
0.897,0.206,-0.127,5.798,-279.236,2.38
1.009,0.23,-0.304,-13.428,-260.681,-13.611
1.234,0.113,-0.105,-31.128,-234.131,-33.264
1.339,-0.127,0.216,-35.583,-189.026,-34.729
1.299,-0.241,0.521,-36.804,-138.916,-27.161
1.175,-0.186,0.813,-36.377,-100.098,-27.283
0.917,-0.087,1.009,-32.227,-72.937,-28.687
0.67,0.02,1.092,-27.344,-48.95,-22.461
0.474,0.022,1.126,-20.02,-20.508,-11.353
0.213,0.033,1.084,-10.376,20.691,3.174
0.088,0.053,0.923,-4.15,76.66,10.925
0.059,0.043,0.691,-1.343,142.761,9.338
0.167,0.06,0.507,1.77,213.379,4.272
0.427,0.096,0.421,7.69,274.475,3.296
0.632,0.142,0.361,13.794,320.007,10.132
0.71,0.165,0.304,17.639,348.328,17.273
0.769,0.179,0.259,19.348,363.647,21.423
0.789,0.234,0.14,21.118,374.939,24.475
0.89,0.262,-0.004,22.461,384.277,20.996
0.822,0.196,-0.309,19.287,401.672,15.564
0.778,0.162,-0.64,13.916,426.514,13.977
0.96,0.201,-0.783,5.92,441.467,13.306
1.222,0.237,-0.93,-0.366,436.34,15.503
1.396,0.187,-1.03,-7.935,402.832,19.775
1.365,0.101,-0.97,-17.334,339.661,24.719
1.215,0.154,-0.877,-24.902,269.165,25.513
1.219,0.197,-0.883,-33.02,214.539,15.93
1.314,0.193,-0.722,-39.856,165.1,10.62
1.308,0.232,-0.512,-42.114,113.037,8.545
1.316,0.214,-0.368,-41.443,70.435,5.249
1.17,0.228,-0.207,-38.269,39.49,-0.244
0.966,0.262,-0.099,-32.837,19.958,-7.263
0.888,0.308,-0.022,-25.574,7.568,-12.329
0.931,0.314,0.004,-16.357,-3.662,-12.878
1.007,0.304,-0.038,-8.484,-20.386,-13.367
1.065,0.267,-0.178,-2.563,-43.884,-13.672
1.12,0.214,-0.363,0.916,-72.937,-13.0
1.18,0.203,-0.526,1.587,-106.323,-11.78
1.217,0.229,-0.56,0.183,-146.057,-10.742
1.167,0.248,-0.513,-1.953,-190.552,-9.277
1.116,0.238,-0.393,-2.869,-236.267,-7.446
1.046,0.191,-0.19,-0.977,-280.884,-5.92
0.785,0.068,-0.029,6.897,-316.589,5.066
0.583,0.007,0.148,20.508,-329.224,23.987
0.518,0.119,0.271,33.569,-319.336,35.645
0.498,0.165,0.348,42.114,-302.429,35.645
0.807,0.1,0.295,48.706,-296.021,38.757
0.853,0.209,0.191,43.884,-304.321,38.452
0.792,0.284,0.052,30.09,-322.937,24.414
0.928,0.273,0.013,18.127,-330.139,7.202
1.081,0.202,-0.079,3.967,-311.218,-8.972
1.25,0.096,-0.046,-9.399,-281.982,-19.653
1.198,0.087,0.015,-17.944,-250.916,-26.245
1.132,0.103,0.103,-23.743,-225.83,-33.569
1.072,0.05,0.255,-25.085,-204.529,-39.246
1.065,-0.018,0.438,-23.254,-185.547,-39.734
1.004,-0.135,0.671,-16.663,-161.56,-35.461
0.78,-0.094,0.902,-14.038,-125.977,-26.978
0.554,-0.077,1.064,-8.484,-76.233,-18.25
0.324,0.016,1.011,0.977,-20.325,-8.301
0.272,0.149,0.856,10.132,25.818,-0.061
0.289,0.242,0.715,13.306,60.852,3.601
0.237,0.263,0.552,13.184,90.21,7.141
0.171,0.225,0.424,14.221,118.713,13.123
0.145,0.164,0.381,16.479,152.405,20.813
0.304,0.146,0.385,17.456,196.594,25.513
0.372,0.242,0.356,18.127,250.061,26.733
0.476,0.291,0.22,20.569,306.519,26.611
0.697,0.297,0.052,23.437,364.014,28.809
0.936,0.249,-0.162,24.109,414.246,29.602
1.058,0.154,-0.423,20.386,453.674,27.283
1.138,0.111,-0.687,13.306,473.755,27.954
1.326,0.125,-0.882,5.432,469.238,27.527
1.448,0.082,-0.934,-2.93,438.599,28.259
1.408,0.122,-0.932,-11.597,383.057,33.264
1.355,0.174,-0.896,-19.775,323.242,28.992
1.33,0.136,-0.918,-28.32,273.132,23.926
1.391,0.096,-0.848,-34.851,223.694,24.292
1.439,0.12,-0.713,-37.964,167.48,22.034
1.385,0.174,-0.552,-40.466,108.826,12.939
1.175,0.148,-0.364,-37.109,53.284,7.019
0.87,0.283,-0.136,-32.715,2.991,1.831
0.741,0.406,0.119,-27.832,-33.203,-4.211
0.748,0.48,0.278,-19.592,-57.373,-7.507
0.859,0.474,0.219,-9.155,-75.134,-8.911
1.066,0.401,0.039,1.221,-86.365,-7.568
1.173,0.33,-0.164,8.545,-95.337,-4.272
1.279,0.276,-0.385,12.024,-110.779,-3.601
1.345,0.243,-0.486,12.878,-140.503,-3.784
1.277,0.248,-0.478,9.827,-182.251,-3.784
1.13,0.243,-0.389,6.531,-227.6,-3.784
0.964,0.177,-0.205,6.897,-269.897,1.038
0.759,0.127,0.066,13.428,-300.537,12.878
0.545,0.132,0.297,25.635,-312.256,28.442
0.249,0.234,0.355,33.386,-307.251,36.255
0.208,0.233,0.245,35.4,-288.94,33.02
0.697,0.094,0.151,38.879,-268.005,33.508
1.013,0.159,0.08,38.635,-255.432,40.894
0.949,0.309,-0.066,26.672,-269.043,32.898
0.959,0.442,-0.038,13.367,-301.514,15.808
1.04,0.403,-0.083,1.099,-310.791,-3.235
1.172,0.32,-0.103,-11.23,-296.448,-20.691
1.157,0.207,-0.025,-21.484,-275.879,-36.377
1.249,0.12,0.151,-27.771,-243.835,-39.246
1.221,0.023,0.281,-29.419,-199.463,-36.316
1.07,-0.014,0.508,-26.672,-157.654,-35.461
0.909,0.001,0.707,-20.813,-123.108,-35.461
0.78,0.024,0.872,-11.78,-94.971,-31.677
0.694,0.005,0.98,-1.526,-73.12,-23.621
0.559,-0.001,1.009,7.263,-51.514,-14.038
0.412,0.085,0.853,12.451,-29.602,-4.089
0.384,0.128,0.641,14.465,-6.165,3.357
0.427,0.173,0.454,10.437,25.024,6.836
0.414,0.167,0.339,5.066,67.017,7.019
