aX,aY,aZ,gX,gY,gZ
1.74,0.592,-0.009,-10.864,59.692,-3.052
1.706,0.49,-0.048,-7.629,-24.902,1.526
1.415,0.355,-0.068,-8.301,-102.844,5.371
1.096,0.307,-0.037,-13.245,-157.959,9.827
0.965,0.264,-0.025,-16.418,-192.078,12.573
0.974,0.206,-0.033,-19.531,-218.567,13.428
0.922,0.123,-0.034,-22.888,-244.629,15.869
0.713,0.046,0.017,-26.611,-272.156,25.024
0.43,-0.028,0.073,-28.076,-296.265,39.063
0.14,-0.095,0.143,-26.489,-314.941,51.331
-0.25,-0.125,0.426,-24.78,-323.547,60.547
-0.437,-0.033,0.789,-21.79,-322.571,68.481
-0.348,0.093,1.148,-13.245,-299.438,67.688
-0.215,0.059,1.307,-2.563,-260.925,61.401
-0.097,0.069,1.344,6.653,-223.938,61.646
0.115,-0.087,1.42,10.681,-198.303,59.692
0.39,-0.181,1.516,15.015,-188.782,59.326
0.707,-0.149,1.545,17.517,-191.711,53.711
0.828,-0.045,1.379,14.954,-195.312,45.776
0.622,0.233,1.253,6.226,-182.068,44.373
0.64,0.49,1.276,3.906,-148.254,42.664
0.554,0.53,1.24,6.042,-96.619,29.785
0.229,0.578,1.276,4.639,-34.119,9.033
-0.109,0.673,1.286,4.211,36.56,-11.475
-0.299,0.879,1.278,5.737,98.389,-21.484
-0.127,0.994,1.263,12.573,130.066,-22.217
0.344,0.914,1.214,17.883,132.202,-22.583
0.698,0.664,1.224,19.226,113.831,-25.879
0.744,0.484,1.254,16.479,88.196,-28.87
0.658,0.385,1.23,12.756,71.655,-30.518
0.474,0.282,1.188,10.193,72.693,-30.884
0.273,0.169,1.134,8.667,89.722,-29.602
0.172,0.065,1.052,7.812,114.624,-27.71
0.22,-0.011,0.953,7.263,140.442,-26.489
0.303,-0.117,0.876,6.775,164.673,-27.527
0.36,-0.203,0.791,6.47,187.073,-29.297
0.407,-0.213,0.759,4.517,207.275,-29.968
0.541,-0.142,0.779,1.831,222.229,-32.41
0.695,-0.068,0.841,0.183,227.722,-40.833
0.785,-0.056,0.846,1.648,224.182,-51.514
0.796,-0.052,0.774,4.639,215.942,-53.345
0.805,-0.002,0.727,6.287,202.148,-42.542
0.778,-0.017,0.622,8.24,184.57,-32.349
0.588,-0.129,0.539,8.606,166.87,-27.71
0.322,-0.261,0.412,7.019,156.128,-23.926
0.094,-0.343,0.265,2.319,154.724,-16.296
