aX,aY,aZ,gX,gY,gZ
0.017,-0.084,0.917,-3.601,-6.348,11.414
0.054,-0.168,0.846,-4.089,-9.644,15.808
0.054,-0.167,0.808,-6.165,-13.733,21.301
0.021,-0.141,0.753,-9.216,-15.015,28.748
-0.012,-0.144,0.76,-11.78,-14.648,36.377
0.098,-0.138,0.87,-13.977,-13.306,43.274
0.277,-0.021,0.954,-16.479,-10.132,45.166
0.348,0.114,0.996,-17.883,-6.165,45.471
0.23,0.092,1.058,-17.395,-8.301,48.401
0.194,0.069,1.142,-17.273,-13.0,52.368
0.267,0.129,1.146,-13.367,-11.78,49.316
0.443,0.181,1.156,-9.216,-8.24,43.945
0.543,0.192,1.107,-6.042,-5.493,42.114
0.524,0.196,1.074,-4.7,-4.578,37.842
0.599,0.214,1.086,-4.333,-3.662,30.518
0.707,0.271,1.132,-1.892,-3.052,20.569
0.838,0.281,1.177,1.404,-4.578,11.658
0.858,0.296,1.205,3.845,-7.324,4.333
0.793,0.295,1.199,6.165,-8.545,-4.028
0.66,0.199,1.141,9.521,-6.348,-13.306
0.545,0.056,1.071,11.902,-2.869,-20.264
0.441,0.023,1.019,12.085,3.662,-24.658
0.432,0.041,0.997,11.475,13.794,-29.114
0.476,-0.056,0.947,12.207,24.292,-32.41
0.475,-0.527,0.929,13.855,24.292,-23.437
0.551,0.635,1.03,8.606,12.024,-0.366
0.415,0.311,0.98,10.742,11.963,-34.302
0.641,0.12,0.992,16.541,20.325,-48.035
0.682,0.205,0.987,19.104,23.987,-54.26
0.673,0.16,0.973,21.301,25.513,-62.378
0.444,0.013,0.964,23.865,17.822,-63.232
-0.349,-1.998,0.591,27.405,0.61,-46.875
-0.595,0.689,0.653,17.944,-24.719,56.091
-0.959,0.555,0.517,-1.77,-10.071,-9.827
-0.339,-0.143,0.725,6.653,38.208,-72.144
0.303,-0.3,0.798,14.709,80.994,-65.857
0.366,0.015,0.761,7.019,71.35,-46.509
0.53,0.005,0.781,5.432,48.767,-18.005
0.486,0.016,0.802,3.54,23.743,-13.794
0.385,0.09,0.811,-2.686,-2.014,-17.09
0.178,0.018,0.802,-4.822,-24.841,-13.855
-0.153,-0.081,0.823,-7.202,-40.588,-12.939
-0.471,-0.167,0.846,-9.705,-41.565,-7.446
-0.529,-0.211,0.898,-10.132,-27.222,1.221
-0.373,-0.178,0.952,-9.399,-3.601,5.859
