aX,aY,aZ,gX,gY,gZ
1.163,-0.19,-0.051,-34.058,-3.357,6.897
1.083,-0.13,-0.118,-32.043,-22.278,2.075
1.009,-0.073,-0.135,-29.724,-20.081,-2.869
0.915,-0.06,-0.129,-27.588,-7.202,-7.935
0.856,-0.168,-0.108,-24.719,9.155,-9.216
0.901,-0.238,-0.112,-20.447,18.555,-4.883
0.891,-0.247,-0.1,-17.456,17.456,-1.465
0.911,-0.286,-0.043,-15.137,11.23,2.563
0.867,-0.324,0.086,-12.024,4.272,7.141
0.724,-0.354,0.202,-7.874,-3.723,11.353
0.599,-0.401,0.255,-0.916,-8.85,15.625
0.575,-0.42,0.268,7.568,-7.751,18.86
0.664,-0.413,0.233,16.724,-4.15,21.057
0.777,-0.355,0.167,24.231,-1.526,21.851
0.841,-0.3,0.105,30.334,1.77,20.386
0.86,-0.305,0.02,34.79,7.385,17.7
0.812,-0.316,-0.005,38.025,15.625,14.587
0.746,-0.354,-0.013,40.71,23.56,12.939
0.768,-0.399,-0.063,43.64,28.32,13.245
0.823,-0.421,-0.114,45.654,31.006,13.428
0.842,-0.458,-0.149,47.485,30.151,13.245
0.858,-0.478,-0.187,48.157,25.269,13.062
0.893,-0.465,-0.237,48.34,17.151,12.573
0.95,-0.424,-0.291,47.729,4.15,12.939
0.973,-0.362,-0.32,46.509,-13.916,13.916
1.025,-0.302,-0.346,45.044,-32.898,15.198
0.819,-0.234,-0.422,44.067,-43.091,15.381
1.186,-0.053,-0.492,43.213,-58.411,15.869
1.48,-0.208,-0.578,39.734,-70.74,17.456
1.523,-0.104,-0.515,37.781,-76.355,10.559
1.065,0.1,-0.336,31.372,-81.299,3.601
0.895,-0.006,-0.397,31.555,-64.27,-1.77
1.066,0.002,-0.429,33.569,-26.062,-4.822
1.18,-0.053,-0.494,33.691,-7.263,-2.747
1.074,-0.116,-0.6,32.227,-8.789,-0.122
0.91,-0.125,-0.672,26.672,-3.357,-0.793
0.942,-0.129,-0.684,19.897,9.766,-2.625
0.988,-0.128,-0.673,12.451,20.142,-3.601
0.984,-0.101,-0.642,5.249,23.132,-2.319
0.996,-0.075,-0.603,-1.16,23.315,-0.732
0.959,-0.1,-0.535,-7.324,21.362,0.549
0.889,-0.142,-0.478,-12.512,17.944,1.343
0.847,-0.124,-0.451,-16.052,19.165,1.77
0.982,-0.095,-0.45,-18.921,27.1,1.831
1.172,-0.101,-0.527,-21.973,32.776,1.648
1.234,-0.097,-0.615,-26.794,30.334,0.488
1.17,-0.129,-0.654,-33.691,26.917,-2.197
1.206,-0.176,-0.677,-40.71,26.611,-4.456
1.19,-0.195,-0.666,-47.485,25.757,-7.263
0.929,-0.248,-0.583,-54.077,22.766,-9.277
0.669,-0.352,-0.338,-59.021,23.499,-8.545
0.782,-0.293,0.009,-55.786,24.475,-2.625
0.804,-0.089,0.049,-49.622,27.466,-1.648
0.849,-0.077,-0.013,-45.532,39.795,-5.31
0.981,-0.122,-0.127,-40.771,51.636,-6.897
0.983,-0.236,-0.249,-38.452,53.65,-9.583
0.858,-0.394,-0.253,-37.659,46.753,-7.629
0.988,-0.283,-0.213,-34.302,30.884,-2.197
1.065,-0.075,-0.245,-31.799,17.09,-1.465
1.107,-0.074,-0.228,-31.982,10.315,-3.723
0.882,-0.134,-0.13,-31.555,7.263,-6.409
0.776,-0.151,-0.079,-28.503,8.423,-7.141
0.824,-0.179,-0.088,-23.254,14.038,-5.981
0.901,-0.229,-0.097,-18.433,15.808,-2.747
0.888,-0.265,-0.021,-13.794,8.362,1.282
0.767,-0.313,0.097,-9.033,-2.869,5.981
0.653,-0.355,0.184,-2.686,-11.902,10.925
0.58,-0.356,0.223,5.371,-17.822,15.442
0.544,-0.348,0.253,14.099,-20.447,19.714
0.588,-0.331,0.2,22.705,-14.404,23.01
0.763,-0.248,0.131,30.945,-1.221,24.048
0.892,-0.222,0.047,36.743,10.864,23.376
0.941,-0.245,-0.031,40.833,17.578,20.996
0.843,-0.263,-0.017,43.396,21.362,17.395
0.786,-0.323,-0.026,45.532,24.658,14.648
0.812,-0.352,-0.075,48.34,28.87,12.817
0.871,-0.355,-0.127,50.598,30.579,11.78
0.856,-0.377,-0.146,52.002,26.733,11.841
0.838,-0.385,-0.178,52.979,20.691,11.658
0.87,-0.365,-0.24,53.894,13.672,11.047
0.94,-0.332,-0.33,54.749,5.432,11.108
1.057,-0.301,-0.478,54.688,-1.587,11.597
1.13,-0.225,-0.53,53.04,-6.409,10.62
1.271,-0.113,-0.843,49.866,-14.465,7.874
1.484,-0.036,-0.606,44.434,-30.029,3.418
1.545,-0.219,-0.849,39.612,-35.034,-3.662
1.453,-0.009,-0.631,35.522,-37.598,-10.559
0.966,0.016,-0.521,30.518,-39.612,-18.372
0.866,-0.075,-0.569,29.114,-26.855,-23.621
