aX,aY,aZ,gX,gY,gZ
0.266,-0.55,-0.973,8.545,7.324,0.183
0.275,-0.604,-1.025,3.845,12.085,5.066
0.299,-0.641,-1.038,-0.366,20.142,8.362
0.347,-0.663,-1.004,-4.395,29.114,10.376
0.369,-0.656,-0.953,-8.362,36.194,12.085
0.332,-0.676,-0.931,-12.817,38.635,15.442
0.241,-0.733,-0.945,-17.151,33.813,20.996
0.212,-0.724,-0.948,-22.4,25.757,27.893
0.211,-0.755,-0.937,-28.32,16.235,35.889
0.214,-0.757,-0.881,-35.095,6.47,41.809
0.327,-0.672,-0.83,-41.016,5.859,44.128
0.439,-0.682,-0.788,-44.861,10.254,44.617
0.528,-0.671,-0.7,-46.448,16.113,42.114
0.588,-0.643,-0.597,-45.776,25.391,37.964
0.664,-0.611,-0.471,-42.847,35.4,32.166
0.708,-0.595,-0.389,-38.696,42.908,25.696
0.797,-0.573,-0.312,-33.569,44.556,18.86
0.86,-0.576,-0.236,-28.381,40.894,11.841
0.918,-0.529,-0.152,-21.912,31.189,3.906
0.896,-0.509,-0.17,-15.137,16.541,-2.014
0.866,-0.542,-0.262,-9.399,-2.502,-4.333
0.877,-0.567,-0.365,-5.31,-22.766,-6.042
0.871,-0.596,-0.448,-2.747,-41.87,-7.935
0.798,-0.629,-0.494,-0.732,-55.298,-11.963
0.727,-0.658,-0.526,1.282,-57.983,-17.517
0.637,-0.676,-0.505,3.54,-50.964,-23.926
0.509,-0.668,-0.496,6.592,-35.4,-28.564
0.521,-0.661,-0.509,10.742,-15.137,-32.166
0.513,-0.68,-0.49,13.733,0.061,-35.4
0.392,-0.698,-0.486,15.259,6.287,-36.316
0.307,-0.684,-0.528,16.541,5.31,-35.767
0.186,-0.67,-0.546,16.357,0.854,-33.447
0.103,-0.651,-0.556,15.442,-5.676,-28.32
0.135,-0.673,-0.583,14.648,-14.221,-21.484
0.2,-0.68,-0.592,13.306,-23.804,-14.954
0.292,-0.686,-0.575,12.085,-33.264,-9.766
0.399,-0.703,-0.541,12.878,-39.063,-7.324
0.53,-0.724,-0.535,15.564,-39.612,-7.751
0.577,-0.744,-0.556,18.982,-36.621,-10.681
0.623,-0.728,-0.578,22.034,-30.212,-15.808
0.58,-0.716,-0.595,24.719,-22.156,-21.301
0.473,-0.706,-0.651,27.039,-13.672,-26.855
0.318,-0.662,-0.692,28.076,-4.822,-31.189
0.232,-0.605,-0.709,27.344,2.869,-31.494
0.174,-0.613,-0.78,25.757,7.08,-27.832
0.161,-0.598,-0.853,22.949,9.094,-22.888
0.184,-0.592,-0.923,18.372,10.498,-16.968
0.193,-0.627,-1.005,13.245,10.498,-10.986
0.165,-0.666,-1.062,6.47,10.254,-5.676
0.125,-0.684,-1.063,-0.732,11.292,-0.854
0.151,-0.673,-1.006,-7.812,16.724,4.089
0.205,-0.667,-0.949,-13.55,25.146,9.277
0.252,-0.654,-0.884,-18.311,33.264,15.503
0.25,-0.673,-0.856,-22.034,38.269,22.827
0.217,-0.719,-0.852,-25.208,38.818,30.396
0.189,-0.749,-0.9,-29.846,34.668,38.208
0.13,-0.838,-0.957,-35.4,25.33,46.509
0.191,-0.798,-0.954,-42.603,16.846,52.49
0.29,-0.78,-0.87,-49.744,13.123,56.152
0.473,-0.69,-0.659,-53.406,20.386,53.711
0.743,-0.556,-0.49,-52.673,43.152,45.532
0.754,-0.636,-0.416,-46.631,56.885,39.124
0.748,-0.661,-0.343,-39.001,59.082,32.776
0.842,-0.594,-0.275,-33.203,61.523,25.574
0.871,-0.582,-0.244,-27.222,57.251,18.799
0.857,-0.58,-0.224,-20.935,42.114,11.841
0.882,-0.575,-0.224,-15.442,24.231,4.883
0.929,-0.572,-0.239,-10.803,5.493,-0.793
0.906,-0.598,-0.273,-6.653,-16.052,-4.944
0.807,-0.621,-0.317,-2.38,-35.095,-9.888
0.714,-0.644,-0.374,2.319,-43.396,-15.198
0.716,-0.673,-0.428,7.141,-41.992,-19.775
0.743,-0.676,-0.476,11.292,-36.133,-24.353
0.743,-0.687,-0.512,14.587,-30.273,-29.48
0.637,-0.689,-0.485,16.663,-25.757,-35.461
0.468,-0.674,-0.487,17.761,-20.935,-39.551
0.43,-0.652,-0.504,19.958,-14.709,-41.809
0.463,-0.665,-0.516,21.362,-9.521,-42.969
0.393,-0.689,-0.533,21.24,-11.536,-41.626
0.222,-0.685,-0.565,20.203,-21.118,-39.063
0.115,-0.673,-0.586,19.714,-30.701,-33.875
0.079,-0.683,-0.566,19.226,-37.72,-27.649
0.176,-0.675,-0.546,18.982,-42.053,-21.362
0.321,-0.698,-0.54,19.775,-46.753,-15.808
0.405,-0.709,-0.565,21.118,-51.025,-12.817
0.408,-0.725,-0.597,22.278,-52.917,-11.902
0.411,-0.75,-0.654,24.536,-48.34,-13.367
0.407,-0.756,-0.689,26.306,-37.72,-15.869
0.348,-0.744,-0.696,27.649,-26.367,-18.188
0.264,-0.737,-0.736,28.809,-14.221,-21.118
0.22,-0.719,-0.774,28.259,-2.014,-22.644
0.182,-0.681,-0.811,26.367,6.897,-21.79
0.129,-0.66,-0.867,23.071,10.864,-18.799
0.148,-0.659,-0.927,18.127,10.498,-14.404
0.144,-0.677,-0.969,11.658,6.958,-8.911
0.168,-0.663,-0.961,4.456,4.15,-4.395
0.185,-0.658,-0.934,-2.075,4.761,-1.099
0.247,-0.66,-0.904,-6.836,10.376,2.014
0.3,-0.677,-0.879,-10.01,18.311,5.859
0.28,-0.711,-0.876,-12.756,25.391,10.01
