aX,aY,aZ,gX,gY,gZ
0.233,-0.737,0.633,30.212,-18.005,-36.316
0.097,-0.687,0.62,34.912,0.122,-31.738
0.186,-0.708,0.576,42.358,13.733,-24.78
0.226,-0.77,0.481,48.218,19.287,-18.188
0.3,-0.776,0.377,50.171,16.907,-11.23
0.415,-0.775,0.259,50.232,9.705,-7.751
0.513,-0.758,0.125,48.401,-4.761,-3.662
0.507,-0.682,0.157,42.969,-26.184,0.244
0.405,-0.663,0.17,36.804,-43.64,3.906
0.47,-0.647,0.069,31.677,-49.438,9.155
0.502,-0.524,0.162,26.55,-42.603,11.536
0.718,-0.533,0.128,22.949,-28.137,12.451
0.721,-0.571,0.057,18.738,-7.263,11.292
0.702,-0.568,-0.102,13.367,18.494,6.165
0.888,-0.621,-0.214,8.911,38.879,5.676
0.861,-0.699,-0.278,1.953,40.649,9.827
0.786,-0.719,-0.353,-8.362,28.259,15.198
0.763,-0.71,-0.384,-21.179,14.343,19.165
0.864,-0.699,-0.285,-34.363,6.775,18.86
0.874,-0.726,-0.144,-44.189,4.883,15.93
0.796,-0.691,0.009,-51.392,2.625,15.625
0.787,-0.644,0.131,-53.772,1.77,17.395
0.781,-0.617,0.163,-52.917,6.958,14.771
0.754,-0.648,0.125,-52.002,14.404,11.78
0.781,-0.68,0.069,-51.025,22.705,10.62
0.876,-0.653,0.031,-50.476,30.029,7.202
0.909,-0.615,0.024,-52.856,32.532,4.272
0.895,-0.604,0.038,-55.847,30.09,4.211
0.887,-0.59,0.074,-59.204,25.635,4.395
0.862,-0.635,0.179,-62.134,21.973,4.456
0.763,-0.667,0.413,-62.317,21.301,5.005
0.682,-0.652,0.746,-57.495,25.269,5.005
0.663,-0.526,0.91,-47.668,32.837,3.296
0.731,-0.545,0.884,-34.912,39.124,-2.014
0.856,-0.62,0.752,-22.888,38.879,-5.676
0.889,-0.694,0.632,-17.334,29.114,-9.033
0.894,-0.745,0.548,-15.32,14.771,-12.451
0.835,-0.774,0.526,-15.381,2.808,-18.494
0.795,-0.822,0.579,-15.503,-5.554,-25.452
0.737,-0.844,0.647,-14.465,-12.451,-29.663
0.537,-0.814,0.703,-12.085,-18.25,-31.189
0.443,-0.779,0.803,-8.972,-17.029,-33.386
0.498,-0.755,0.864,-4.333,-8.24,-36.804
0.535,-0.784,0.821,1.526,-1.282,-38.818
0.438,-0.791,0.792,7.202,-2.258,-36.743
0.365,-0.78,0.734,10.925,-3.601,-34.058
0.455,-0.812,0.593,15.503,-0.183,-34.79
0.536,-0.787,0.518,17.7,-0.061,-35.339
0.271,-0.779,0.572,18.677,-6.287,-31.799
0.326,-0.8,0.515,20.691,-8.667,-25.085
0.343,-0.766,0.45,23.132,-2.441,-23.132
0.287,-0.695,0.444,22.888,1.953,-18.677
0.311,-0.659,0.393,23.132,3.113,-11.536
0.376,-0.656,0.344,24.414,6.042,-7.019
0.437,-0.689,0.265,25.574,7.69,-2.808
0.455,-0.733,0.157,25.635,3.967,1.953
0.437,-0.71,0.102,24.231,-5.249,7.812
0.455,-0.691,0.055,21.606,-18.066,14.099
0.536,-0.729,-0.029,17.395,-26.367,19.226
0.63,-0.677,-0.121,10.315,-25.696,20.996
0.794,-0.563,-0.015,3.54,-15.869,19.226
0.821,-0.526,0.114,-1.221,-1.709,15.625
0.761,-0.558,0.083,-3.723,13.855,14.282
0.733,-0.583,0.105,-5.249,31.799,11.169
0.757,-0.611,0.009,-6.531,47.119,9.521
0.832,-0.651,-0.093,-8.606,49.988,12.39
0.894,-0.69,-0.134,-12.634,41.87,13.977
0.924,-0.733,-0.093,-18.86,29.297,13.611
0.815,-0.746,-0.078,-25.391,15.137,13.123
0.754,-0.7,0.011,-30.823,-2.136,15.076
0.698,-0.624,0.173,-34.973,-17.151,18.311
0.684,-0.579,0.294,-35.461,-25.757,18.433
0.747,-0.54,0.365,-34.546,-29.846,18.677
0.793,-0.538,0.408,-32.837,-31.677,17.883
0.812,-0.579,0.409,-30.457,-31.25,16.602
0.804,-0.635,0.397,-28.259,-29.846,15.503
0.703,-0.675,0.424,-26.367,-25.574,13.184
0.611,-0.684,0.453,-24.109,-13.916,11.414
0.62,-0.665,0.48,-20.935,3.784,10.254
0.742,-0.65,0.449,-17.029,20.386,8.85
0.85,-0.638,0.437,-14.343,28.442,7.935
0.884,-0.646,0.428,-12.39,27.832,6.775
0.853,-0.66,0.412,-11.108,22.095,4.15
0.837,-0.69,0.409,-10.803,16.235,-0.305
0.877,-0.706,0.426,-10.681,10.925,-3.54
0.878,-0.72,0.444,-9.888,5.188,-7.385
0.809,-0.771,0.457,-8.85,0.854,-10.742
0.684,-0.803,0.541,-6.836,-1.831,-14.038
0.611,-0.797,0.664,-3.723,-2.686,-17.578
0.612,-0.773,0.788,1.465,-2.258,-21.606
0.599,-0.802,0.811,9.033,-3.418,-23.499
0.512,-0.789,0.823,15.747,-6.958,-23.071
0.5,-0.8,0.77,22.461,-8.911,-23.499
0.559,-0.827,0.693,29.114,-7.141,-26.306
0.463,-0.822,0.563,32.959,-5.31,-28.015
0.27,-0.738,0.62,34.607,-3.357,-26.55
0.134,-0.713,0.608,37.109,4.211,-24.109
0.253,-0.728,0.537,42.542,16.418,-21.545
0.271,-0.723,0.526,46.997,25.513,-18.799
0.258,-0.711,0.515,50.232,25.574,-13.123
0.325,-0.697,0.46,53.65,21.484,-8.362
0.425,-0.692,0.415,56.519,13.855,-5.127
0.477,-0.733,0.343,57.129,0.732,-0.977
0.485,-0.769,0.25,56.03,-13.794,3.784
0.499,-0.761,0.15,53.223,-25.513,7.874
0.497,-0.698,0.125,49.255,-35.461,11.108
0.465,-0.685,0.139,45.532,-44.556,13.55
0.483,-0.717,0.058,41.809,-50.11,16.663
0.562,-0.69,-0.083,36.865,-49.561,18.616
0.725,-0.594,-0.058,30.273,-45.471,19.897
0.809,-0.572,0.039,22.766,-39.917,19.836
0.747,-0.638,0.033,17.029,-29.236,19.348
0.736,-0.59,0.017,11.292,-5.981,15.93
0.86,-0.545,0.007,6.165,26.55,10.437
0.9,-0.608,-0.034,3.174,50.049,8.179
0.897,-0.698,-0.043,-0.854,55.359,10.254
0.872,-0.689,-0.025,-6.531,51.025,12.695
0.902,-0.683,-0.028,-12.085,40.283,14.587
0.933,-0.685,0.008,-17.395,21.667,16.357
0.822,-0.696,-0.011,-22.705,-1.038,18.311
