aX,aY,aZ,gX,gY,gZ
1.314,-0.135,-0.088,0.732,458.191,-21.912
1.443,-0.158,-0.378,-3.052,431.763,-33.936
1.537,-0.217,-0.621,-9.766,402.893,-43.396
1.46,-0.309,-0.832,-20.264,367.615,-49.805
1.443,-0.308,-0.864,-32.288,323.669,-51.819
1.494,-0.26,-0.772,-41.626,267.029,-50.415
1.498,-0.2,-0.496,-48.645,189.575,-42.297
1.31,-0.028,-0.039,-52.979,102.051,-30.64
1.126,0.278,0.603,-48.462,23.254,-23.621
1.071,0.38,0.771,-31.433,-43.396,-22.705
1.071,0.333,0.657,-14.587,-104.309,-22.644
1.132,0.162,0.433,-1.648,-166.26,-17.212
1.203,-0.03,0.153,12.268,-236.084,-7.568
1.311,-0.144,-0.063,25.635,-316.223,2.991
1.305,-0.182,-0.174,36.072,-404.907,14.893
1.054,-0.123,-0.057,37.659,-492.676,26.489
0.5,-0.064,0.235,30.151,-551.819,36.316
0.4,0.03,0.477,27.161,-566.528,44.739
0.531,0.032,0.596,33.081,-546.631,48.462
0.628,0.096,0.574,31.86,-524.536,46.326
0.758,-0.017,0.538,23.01,-512.39,39.185
0.839,-0.177,0.546,16.418,-498.23,40.649
0.915,-0.293,0.555,9.277,-470.459,42.725
1.069,-0.407,0.497,0.61,-428.345,36.377
1.24,-0.382,0.445,-8.606,-378.967,21.545
1.38,-0.339,0.457,-13.0,-344.177,2.38
1.2,-0.318,0.59,-16.907,-325.806,-10.62
0.634,-0.206,0.748,-25.757,-306.335,-13.611
0.312,-0.152,0.816,-27.1,-273.987,-12.939
0.315,-0.15,0.817,-21.484,-226.196,-15.991
0.318,-0.111,0.788,-16.174,-176.575,-21.667
0.272,-0.066,0.699,-13.977,-138.0,-22.217
0.302,-0.083,0.601,-15.259,-108.215,-17.822
0.266,-0.096,0.571,-21.423,-73.608,-13.489
0.209,-0.072,0.669,-28.381,-26.855,-11.78
0.074,-0.065,0.742,-34.058,35.522,-12.39
0.074,-0.028,0.752,-37.537,114.136,-13.367
0.209,-0.005,0.738,-35.278,197.083,-13.916
0.354,-0.049,0.717,-28.381,271.667,-10.559
0.405,-0.109,0.667,-21.118,332.275,-2.563
0.498,-0.172,0.68,-14.038,377.136,5.432
0.556,-0.168,0.672,-8.423,412.537,9.216
0.637,-0.127,0.669,-1.465,438.171,5.737
0.806,-0.136,0.667,4.333,457.336,-0.549
0.968,-0.082,0.757,9.033,467.285,-5.31
0.917,-0.056,0.677,12.573,471.375,-10.925
