aX,aY,aZ,gX,gY,gZ
0.659,-0.274,0.412,9.155,335.144,14.587
0.558,-0.264,0.392,5.066,299.316,22.705
0.62,-0.177,0.32,0.427,273.437,24.536
0.866,-0.048,0.134,-3.845,254.639,20.508
1.228,0.111,-0.027,-9.766,231.079,13.123
1.688,0.252,-0.092,-14.404,189.392,3.296
2.048,0.29,-0.068,-15.076,127.502,-6.592
2.124,0.259,-0.056,-14.526,47.18,-10.681
1.968,0.186,-0.068,-16.296,-44.922,-7.935
1.505,0.139,0.029,-23.315,-132.568,-3.662
0.949,0.165,0.165,-33.447,-187.561,-5.31
0.66,0.187,0.286,-36.438,-210.022,-9.277
0.527,0.227,0.337,-36.926,-212.952,-7.019
0.631,0.264,0.341,-34.241,-212.524,-1.343
0.753,0.244,0.326,-28.198,-218.384,4.028
0.843,0.169,0.328,-22.522,-236.938,8.85
0.834,0.108,0.367,-19.104,-268.372,14.099
0.695,0.101,0.48,-17.578,-309.387,19.653
0.341,0.114,0.574,-16.602,-345.642,25.818
-0.049,0.12,0.615,-15.503,-364.807,33.997
-0.301,0.144,0.88,-10.376,-359.009,44.128
-0.449,0.21,1.25,1.709,-331.36,54.565
-0.453,0.242,1.333,19.348,-293.03,60.913
-0.304,0.098,1.267,34.241,-259.277,61.462
-0.041,-0.02,1.017,40.161,-237.793,61.462
0.234,-0.276,0.81,39.917,-237.732,59.753
0.216,-0.439,0.754,30.701,-250.854,64.148
-0.075,-0.32,0.74,15.32,-260.925,69.519
-0.161,-0.269,0.755,7.324,-257.874,66.04
-0.232,-0.259,0.982,3.418,-238.281,64.087
-0.341,-0.16,1.199,-1.465,-211.731,67.139
-0.388,0.057,1.299,-5.005,-179.81,61.401
-0.234,0.407,1.359,-7.263,-133.85,46.204
0.008,0.806,1.492,-5.188,-72.205,25.757
0.361,0.919,1.433,2.258,-5.188,0.0
0.706,0.715,1.421,12.817,41.443,-6.958
0.762,0.449,1.514,17.7,44.983,3.296
0.42,0.264,1.451,14.832,27.283,4.395
0.116,0.258,1.415,8.057,13.855,-0.183
0.065,0.241,1.447,8.24,16.541,-7.69
0.156,0.185,1.51,13.306,32.166,-11.963
0.18,0.148,1.469,16.602,50.903,-18.555
0.095,0.04,1.355,15.808,74.402,-31.067
-0.045,-0.059,1.219,15.564,103.76,-38.513
-0.253,-0.071,1.108,12.024,139.709,-39.734
-0.394,0.003,1.079,6.287,178.955,-44.128
-0.359,0.132,1.061,3.845,212.219,-54.138
-0.284,0.176,0.936,2.136,230.774,-63.477
-0.243,0.135,0.84,0.305,236.328,-60.547
-0.259,0.025,0.766,-1.465,239.014,-48.95
-0.218,-0.094,0.735,-0.977,247.314,-36.621
-0.196,-0.153,0.749,-0.183,263.916,-30.151
-0.09,-0.12,0.74,0.366,282.959,-30.579
0.001,-0.151,0.63,0.916,297.546,-35.4
-0.038,-0.169,0.745,-0.977,311.584,-39.368
-0.063,-0.296,0.661,-0.427,327.087,-30.823
0.066,-0.123,0.61,-1.221,337.646,-14.954
0.366,0.018,0.515,-6.287,336.731,-10.986
0.665,-0.056,0.41,-4.761,325.989,-9.888
0.819,-0.149,0.322,-2.014,308.411,-4.639
0.802,-0.205,0.25,-4.089,287.231,3.357
0.707,-0.198,0.157,-8.301,267.09,11.353
0.787,-0.142,0.058,-14.099,248.413,15.503
1.008,0.008,-0.001,-20.447,226.685,15.869
1.257,0.155,0.035,-26.306,197.449,11.597
1.458,0.237,0.163,-28.625,155.273,6.714
1.528,0.263,0.28,-27.283,103.088,4.7
1.49,0.261,0.325,-25.757,44.189,4.272
1.372,0.235,0.321,-24.231,-11.78,2.808
1.23,0.199,0.31,-21.973,-56.641,-1.282
1.099,0.188,0.331,-21.973,-87.097,-6.226
0.941,0.2,0.361,-21.118,-104.736,-9.766
0.811,0.217,0.34,-18.555,-114.258,-9.399
0.797,0.211,0.311,-15.808,-120.056,-5.432
0.871,0.181,0.331,-12.695,-125.0,-2.93
0.996,0.18,0.361,-9.766,-134.46,-2.991
1.085,0.22,0.423,-8.667,-155.273,-2.747
1.075,0.252,0.469,-7.385,-186.401,0.854
1.013,0.223,0.508,-3.479,-224.731,8.179
0.788,0.131,0.492,1.282,-261.719,16.541
0.492,0.033,0.514,5.554,-294.25,27.832
0.214,-0.021,0.607,11.475,-315.247,42.542
-0.05,0.001,0.814,21.179,-321.594,55.786
-0.081,-0.028,1.188,32.288,-315.613,59.814
0.01,-0.078,1.301,44.556,-300.72,57.068
0.133,-0.249,1.105,54.382,-291.382,52.307
0.13,-0.409,0.827,52.979,-292.236,51.941
0.108,-0.366,0.574,48.401,-308.533,57.434
0.057,-0.333,0.378,38.574,-323.303,52.917
-0.043,-0.244,0.353,22.278,-332.275,47.363
-0.299,-0.097,0.476,5.676,-330.994,49.377
-0.468,0.047,0.619,-5.859,-314.087,54.993
-0.518,0.214,0.847,-14.038,-280.457,57.739
-0.522,0.349,1.142,-18.921,-229.919,53.528
-0.343,0.597,1.572,-19.592,-168.884,42.786
0.042,0.856,1.745,-16.602,-100.891,22.4
0.402,0.808,1.69,-8.667,-39.612,6.592
0.697,0.676,1.638,-1.038,-6.775,9.827
0.709,0.469,1.602,6.653,-2.747,10.986
0.508,0.291,1.571,9.094,-6.592,3.967
0.265,0.236,1.563,8.484,-5.676,-4.578
0.185,0.219,1.51,10.376,4.211,-12.512
0.184,0.134,1.469,14.954,19.409,-20.142
0.132,0.085,1.393,17.517,36.316,-27.649
0.084,0.085,1.295,18.921,54.077,-35.828
0.154,0.068,1.224,21.423,68.054,-43.091
0.134,0.037,1.253,22.339,76.66,-47.363
-0.006,0.028,1.345,20.203,85.022,-48.401
-0.122,0.024,1.314,19.592,98.877,-48.157
-0.255,-0.058,1.169,20.569,116.455,-47.058
-0.57,-0.162,0.955,16.602,137.024,-41.016
-0.859,-0.167,0.729,7.629,168.213,-31.677
-0.907,-0.134,0.533,2.686,209.351,-28.931
-0.789,-0.111,0.468,0.183,249.878,-34.18
-0.707,-0.065,0.457,-4.639,286.255,-41.687
-0.653,-0.094,0.468,-10.254,322.937,-49.316
-0.49,-0.103,0.528,-10.62,359.07,-49.805
-0.204,-0.014,0.614,-8.911,391.479,-45.166
0.041,0.035,0.643,-5.92,408.142,-42.969
0.246,0.017,0.557,-2.747,408.142,-38.391
0.391,-0.092,0.426,1.404,394.409,-25.391
0.604,-0.261,0.302,6.592,374.939,-6.165
0.775,-0.345,0.22,7.935,351.929,10.01
0.79,-0.334,0.145,2.747,330.139,19.958
0.896,-0.22,0.135,-2.625,310.913,23.743
1.128,-0.076,0.122,-5.798,287.781,23.254
1.405,0.038,0.035,-10.132,256.531,21.545
1.693,0.13,-0.008,-13.306,214.233,18.005
1.907,0.192,-0.008,-15.015,160.278,10.01
1.975,0.231,0.042,-16.846,93.872,1.16
1.88,0.278,0.054,-18.982,19.47,-4.517
1.654,0.274,0.086,-21.179,-54.993,-9.216
1.267,0.292,0.183,-25.696,-116.638,-11.841
0.83,0.308,0.328,-27.893,-150.208,-14.16
0.602,0.305,0.384,-26.245,-161.499,-13.672
0.579,0.315,0.369,-26.001,-162.903,-9.827
0.675,0.266,0.338,-24.536,-162.476,-5.554
0.849,0.187,0.306,-21.118,-166.504,-2.258
1.022,0.141,0.308,-19.226,-181.763,0.366
1.027,0.11,0.348,-18.982,-208.679,4.639
0.924,0.074,0.388,-18.677,-241.882,10.315
0.708,0.036,0.442,-18.677,-273.315,17.029
0.352,-0.007,0.491,-15.442,-294.617,29.907
0.073,0.019,0.569,-7.812,-306.274,51.147
-0.017,0.11,0.77,4.639,-315.308,68.604
-0.09,0.139,0.987,15.625,-328.247,69.885
-0.187,-0.043,1.208,23.315,-341.248,60.12
-0.36,-0.128,1.306,26.489,-352.722,57.861
-0.42,-0.181,1.083,24.536,-347.412,54.016
-0.302,-0.336,0.882,21.423,-328.796,48.95
-0.345,-0.313,0.732,15.808,-305.054,53.528
-0.317,-0.197,0.614,7.202,-278.87,54.932
-0.151,-0.103,0.641,0.427,-250.732,49.805
0.001,-0.065,0.673,-5.066,-229.919,46.692
0.009,0.023,0.69,-11.658,-221.497,52.063
-0.169,0.2,0.779,-22.949,-217.651,57.312
-0.289,0.296,1.016,-33.752,-199.524,54.016
-0.314,0.446,1.303,-38.757,-162.231,46.997
-0.217,0.614,1.557,-37.598,-111.328,37.231
-0.016,0.79,1.693,-32.593,-49.744,25.696
0.151,0.768,1.612,-24.048,10.071,11.78
0.306,0.639,1.56,-15.93,50.781,4.578
0.376,0.506,1.584,-8.301,67.078,-0.122
0.369,0.421,1.61,-2.319,68.787,-8.911
0.334,0.424,1.624,0.427,68.481,-19.897
0.346,0.348,1.581,1.953,74.341,-28.809
0.262,0.238,1.515,3.662,85.815,-33.569
0.153,0.218,1.449,5.127,98.389,-35.461
-0.021,0.176,1.405,5.798,115.662,-40.771
-0.144,0.171,1.422,6.958,143.982,-48.218
-0.132,0.149,1.417,12.085,176.88,-55.054
-0.016,0.07,1.3,17.395,203.796,-58.777
-0.003,-0.071,1.124,19.165,220.459,-59.204
-0.135,-0.149,0.964,16.479,230.835,-54.321
-0.166,-0.127,0.796,12.817,240.54,-44.8
-0.168,-0.098,0.695,10.193,249.756,-38.208
-0.182,-0.058,0.69,4.944,257.751,-36.743
-0.284,0.031,0.686,-3.052,270.203,-42.48
-0.407,-0.017,0.679,-9.399,288.025,-55.176
-0.556,-0.201,0.635,-10.071,320.679,-55.786
-0.503,-0.118,0.531,-8.606,361.328,-40.955
-0.193,-0.062,0.457,-7.874,396.79,-36.621
0.136,-0.122,0.347,-4.272,416.138,-34.058
0.391,-0.21,0.174,-2.197,414.856,-21.667
0.543,-0.331,0.026,-1.77,393.188,-3.113
0.702,-0.278,-0.032,-2.869,362.915,18.921
0.971,-0.122,-0.1,-8.362,331.848,32.043
1.286,0.055,-0.109,-15.686,291.687,31.311
1.74,0.332,0.032,-22.217,236.145,21.301
2.124,0.548,0.24,-21.362,162.231,7.385
2.274,0.599,0.371,-12.39,68.909,0.427
2.108,0.514,0.327,-1.404,-37.354,1.16
1.618,0.336,0.262,3.113,-137.085,0.061
1.105,0.242,0.216,-0.916,-198.792,-5.798
0.85,0.176,0.136,-3.662,-222.412,-14.038
0.773,0.155,0.042,-6.653,-225.403,-17.029
0.709,0.117,0.0,-10.864,-221.741,-15.442
0.671,0.092,0.044,-15.381,-220.398,-11.719
0.748,0.115,0.172,-16.846,-227.783,-4.883
0.766,0.19,0.318,-14.893,-248.352,5.127
0.662,0.255,0.402,-10.315,-282.715,19.043
0.476,0.187,0.402,-2.625,-328.674,34.607
0.164,0.144,0.552,6.531,-376.038,51.758
-0.115,0.136,0.691,14.16,-412.17,62.317
-0.362,0.024,0.782,19.958,-421.753,61.768
-0.373,-0.01,0.795,21.973,-408.325,60.181
-0.118,-0.312,0.742,22.4,-385.315,52.795
-0.076,-0.388,0.77,20.935,-365.295,56.885
-0.234,-0.309,0.822,9.888,-347.412,57.434
-0.259,-0.302,0.915,1.282,-321.716,54.382
-0.24,-0.15,0.914,-1.343,-289.429,56.885
-0.426,0.192,0.816,-8.606,-254.822,54.688
-0.594,0.448,0.81,-20.935,-211.426,46.326
-0.561,0.579,0.902,-26.794,-155.64,39.185
-0.382,0.753,1.191,-25.696,-95.825,33.203
0.01,0.913,1.552,-21.729,-39.307,23.376
0.437,0.816,1.661,-14.587,6.226,9.277
0.626,0.65,1.686,-9.644,31.311,1.831
0.5,0.485,1.683,-6.836,39.978,0.488
0.301,0.365,1.718,-4.822,49.133,-1.648
0.219,0.328,1.703,-0.549,70.496,-8.667
0.24,0.289,1.597,5.676,96.13,-21.362
0.192,0.2,1.494,11.169,119.507,-32.715
0.015,0.197,1.462,10.925,141.357,-40.771
-0.124,0.29,1.508,8.545,167.969,-49.683
-0.086,0.333,1.427,11.902,197.571,-60.547
-0.011,0.229,1.279,17.212,219.482,-68.115
0.004,0.081,1.225,17.761,229.248,-65.491
-0.056,-0.03,1.107,15.686,236.816,-57.495
-0.0,-0.156,0.953,15.503,246.704,-49.866
-0.096,-0.286,0.804,10.437,262.329,-44.25
-0.485,-0.281,0.608,-1.648,293.945,-40.405
-0.713,-0.244,0.458,-9.46,343.872,-44.8
-0.604,-0.202,0.344,-6.348,399.841,-48.889
-0.133,0.008,0.42,-3.357,442.383,-48.645
0.335,0.104,0.509,-2.625,448.059,-50.049
0.564,0.09,0.484,1.343,418.945,-40.649
0.678,-0.063,0.368,4.089,369.019,-19.226
0.631,-0.265,0.281,4.944,313.11,6.409
0.533,-0.342,0.188,1.587,266.357,26.55
0.579,-0.213,0.03,-6.348,237.793,34.302
0.784,-0.052,-0.126,-16.724,220.642,27.832
1.157,0.216,-0.169,-27.344,201.782,18.372
1.583,0.362,-0.115,-28.809,172.913,9.094
1.841,0.396,-0.023,-24.353,128.174,4.028
1.88,0.463,0.05,-21.118,62.988,4.7
1.757,0.445,0.087,-19.836,-15.564,1.648
1.49,0.415,0.171,-20.935,-90.759,-2.869
1.041,0.386,0.251,-22.827,-140.808,-8.362
0.783,0.397,0.317,-23.682,-166.016,-12.024
0.61,0.407,0.395,-22.461,-175.72,-10.986
0.564,0.368,0.426,-19.653,-178.284,-7.202
0.681,0.268,0.395,-16.357,-180.42,-2.136
0.818,0.16,0.338,-13.489,-188.416,3.54
0.903,0.08,0.326,-11.841,-205.811,9.033
0.954,0.057,0.316,-11.841,-233.398,14.221
1.013,0.066,0.323,-12.512,-271.729,18.005
0.911,0.068,0.341,-13.977,-313.354,21.545
0.652,0.07,0.352,-15.625,-351.196,27.405
0.312,0.069,0.518,-15.564,-380.493,36.682
-0.157,0.086,0.804,-11.963,-388.55,50.232
-0.517,0.092,1.078,-3.113,-378.174,63.049
-0.748,0.138,1.296,7.507,-345.032,72.266
-0.757,0.197,1.331,15.503,-299.5,71.533
-0.466,0.153,1.129,21.118,-253.784,57.983
-0.036,0.01,0.925,25.574,-226.379,44.739
0.143,-0.071,0.753,25.452,-222.351,42.847
0.158,-0.04,0.62,17.029,-230.53,49.683
0.097,-0.056,0.602,4.578,-235.291,55.847
-0.069,-0.008,0.761,-7.141,-230.347,61.707
-0.192,0.149,0.886,-15.381,-215.515,65.247
-0.267,0.179,1.165,-19.836,-188.782,63.721
-0.336,0.311,1.344,-20.813,-155.029,62.988
-0.329,0.463,1.381,-19.165,-120.361,53.833
-0.324,0.528,1.391,-16.968,-78.125,40.283
-0.121,0.667,1.472,-11.78,-29.541,29.236
0.225,0.789,1.424,-5.676,17.822,10.498
0.522,0.709,1.327,0.244,53.101,-2.563
0.574,0.58,1.324,4.272,63.232,-3.052
0.423,0.48,1.31,5.31,56.519,-5.92
0.294,0.422,1.368,3.906,53.406,-12.39
0.179,0.372,1.431,4.578,60.852,-18.494
0.124,0.35,1.485,8.728,74.768,-22.827
0.07,0.37,1.432,11.597,94.604,-31.067
-0.017,0.337,1.313,10.925,122.62,-45.776
-0.087,0.31,1.418,14.648,156.189,-55.847
-0.124,0.283,1.514,20.752,194.153,-61.401
-0.037,0.196,1.427,26.428,228.149,-65.857
-0.049,0.026,1.206,28.198,252.258,-69.336
