aX,aY,aZ,gX,gY,gZ
0.713,-0.066,-0.726,36.316,-29.419,-40.894
0.727,-0.091,-0.719,37.17,-23.499,-40.283
0.617,-0.152,-0.803,38.818,-16.785,-40.283
0.509,-0.172,-0.836,39.246,-8.85,-40.771
0.641,-0.241,-0.867,37.659,-2.502,-40.649
0.872,-0.334,-0.861,35.767,-6.165,-41.687
0.606,-0.295,-0.905,33.142,-13.855,-44.25
0.437,-0.211,-0.73,31.311,-13.977,-44.189
0.707,-0.274,-0.929,32.959,-2.502,-43.884
0.848,-0.134,-0.945,24.963,-8.728,-40.833
0.546,-0.147,-0.982,22.4,-25.513,-37.598
0.459,-0.312,-1.038,22.461,-25.024,-34.912
1.029,-0.122,-0.9,14.404,-16.663,-28.687
0.985,0.035,-0.558,8.362,-24.841,-22.949
0.623,-0.044,-0.565,10.803,-24.963,-25.635
1.008,-0.099,-0.783,8.728,-7.324,-24.902
1.123,0.129,-0.678,1.16,-7.08,-16.846
0.727,0.089,-0.588,-1.16,-32.166,-14.526
0.498,0.044,-0.56,-0.61,-40.71,-10.01
0.647,0.075,-0.482,-2.258,-25.452,-2.869
0.906,0.044,-0.391,-2.38,-11.536,3.601
0.934,-0.015,-0.373,0.793,-8.362,8.911
0.941,-0.046,-0.427,3.601,-8.789,7.568
1.063,0.03,-0.596,3.967,-12.207,4.944
0.307,0.265,-0.532,-0.122,-14.404,7.08
0.638,-0.002,-0.726,-1.648,7.019,18.738
1.196,-0.092,-0.567,-2.197,28.32,28.137
0.629,0.034,-0.508,-4.517,14.771,31.189
0.999,-0.086,-0.697,-9.46,-1.465,24.109
0.732,-0.366,-0.531,-3.723,-3.784,29.053
0.762,-0.357,-0.337,1.709,-4.456,41.87
0.945,-0.362,-0.205,1.404,2.258,35.522
1.13,-0.197,-0.182,4.7,4.272,34.851
1.157,-0.213,-0.186,10.437,8.972,34.668
0.983,-0.166,-0.307,15.686,5.249,35.889
0.781,-0.099,-0.507,15.442,3.418,34.79
0.876,-0.004,-0.684,9.888,9.705,35.278
1.016,0.064,-0.672,3.906,14.893,39.49
1.038,0.145,-0.584,-1.465,7.202,43.945
1.087,0.206,-0.49,-5.249,-5.432,43.945
1.115,0.265,-0.437,-6.287,-14.526,40.894
1.082,0.249,-0.435,-5.676,-19.653,37.415
1.053,0.184,-0.484,-4.15,-22.949,35.339
1.074,0.112,-0.519,-3.662,-26.367,31.494
1.114,0.062,-0.504,-3.723,-32.593,27.1
1.05,0.001,-0.507,-1.709,-40.588,23.254
0.977,-0.057,-0.568,1.648,-43.335,17.7
0.856,-0.139,-0.64,3.235,-38.879,10.742
0.706,-0.183,-0.758,4.211,-31.677,6.226
0.598,-0.242,-0.862,3.967,-22.4,3.662
0.69,-0.244,-0.919,1.099,-14.832,2.502
0.791,-0.206,-0.888,-3.418,-14.465,-0.732
0.719,-0.011,-0.772,-10.437,-23.865,-5.615
0.672,0.0,-0.616,-17.761,-32.715,-13.428
0.491,-0.168,-0.648,-19.043,-29.968,-16.418
0.428,-0.236,-0.513,-20.142,-16.418,-15.625
0.584,-0.105,-0.374,-21.484,1.465,-15.381
0.573,-0.03,-0.381,-20.447,10.62,-17.639
0.631,-0.098,-0.482,-17.822,17.273,-20.447
0.806,-0.086,-0.554,-16.663,25.269,-19.531
0.83,0.008,-0.509,-16.541,21.24,-17.578
0.63,0.04,-0.483,-17.273,5.493,-18.921
0.482,0.025,-0.525,-17.456,-2.93,-19.775
0.512,0.089,-0.616,-18.982,2.991,-14.404
0.734,0.102,-0.692,-19.897,11.658,-2.319
0.989,0.06,-0.71,-18.982,11.841,10.437
0.981,0.04,-0.642,-18.433,6.836,16.052
0.832,0.1,-0.535,-18.494,4.944,18.25
0.844,0.14,-0.36,-17.578,13.367,23.132
0.996,0.101,-0.192,-13.672,26.489,30.762
0.992,0.002,-0.169,-7.874,35.461,35.95
0.884,-0.042,-0.247,-3.479,36.987,36.072
1.097,0.083,-0.482,-1.953,39.429,32.837
1.266,-0.362,-0.474,0.549,43.091,26.306
1.233,-0.49,-0.095,12.756,30.701,30.823
1.149,-0.061,-0.468,16.785,-1.404,33.691
1.495,-0.476,-0.358,17.944,-16.296,14.832
1.332,-0.497,-0.328,23.01,-29.297,9.583
0.818,-0.179,-0.539,23.804,-63.11,5.005
0.622,-0.176,-0.642,22.827,-72.693,-1.892
0.75,-0.394,-0.654,19.47,-54.443,-2.014
0.799,-0.38,-0.543,15.625,-39.551,-2.136
0.77,-0.343,-0.672,12.512,-36.316,-5.127
0.866,-0.291,-0.801,7.812,-36.011,-12.756
0.875,-0.224,-0.798,0.732,-36.743,-20.325
0.828,-0.156,-0.711,-3.296,-36.072,-22.827
0.751,-0.098,-0.645,-4.395,-30.09,-26.489
0.686,-0.094,-0.618,-4.211,-18.86,-32.41
0.687,-0.097,-0.612,-4.089,-4.639,-37.537
0.658,-0.132,-0.647,-3.174,10.254,-40.405
0.663,-0.17,-0.669,-2.136,21.362,-41.809
0.644,-0.207,-0.614,-2.38,26.978,-41.931
0.524,-0.213,-0.587,-1.709,30.09,-40.894
0.478,-0.184,-0.629,-3.479,33.203,-40.771
0.535,-0.236,-0.725,-5.371,34.973,-39.551
0.668,-0.296,-0.734,-5.92,31.311,-35.645
1.023,-0.342,-0.582,-6.653,23.315,-32.898
1.379,-0.421,-0.738,-5.432,3.357,-32.776
0.781,-0.155,-0.551,-6.348,-28.015,-34.18
0.101,-0.084,-0.623,-11.719,-45.166,-41.626
0.065,-0.293,-0.567,-10.254,-21.851,-36.56
0.634,-0.293,-0.545,-12.573,17.822,-17.151
0.891,-0.194,-0.578,-14.221,25.452,-5.859
0.723,-0.111,-0.641,-14.832,0.0,-7.507
0.56,-0.025,-0.714,-16.174,-13.733,-8.179
0.686,0.03,-0.712,-19.409,1.221,-0.366
0.954,0.011,-0.663,-19.287,25.574,12.878
1.1,0.008,-0.612,-17.578,35.095,18.677
1.047,0.022,-0.619,-16.724,27.771,15.198
1.085,0.014,-0.625,-15.93,18.921,12.268
1.113,-0.041,-0.558,-14.16,18.677,14.221
1.116,-0.121,-0.51,-12.024,20.264,16.785
1.104,-0.199,-0.496,-9.338,18.005,16.907
0.989,-0.197,-0.533,-8.545,13.367,13.367
0.834,-0.235,-0.524,-10.193,9.583,8.545
0.716,-0.26,-0.423,-8.118,5.127,10.01
0.659,-0.321,-0.347,-6.47,-2.991,13.306
0.745,-0.275,-0.359,-6.104,-7.385,16.418
0.567,-0.087,-0.403,-5.371,-6.47,20.081
0.122,-0.226,-0.587,-4.639,4.578,27.954
1.057,-0.398,-0.102,0.183,20.142,38.025
0.882,-0.266,-0.116,6.836,19.226,42.725
1.301,-0.154,-0.363,5.432,11.23,31.494
1.497,-0.388,-0.242,15.564,10.437,22.583
0.985,-0.183,-0.338,22.522,-3.601,21.118
0.858,-0.009,-0.471,24.17,-9.338,9.888
0.872,0.062,-0.637,22.095,-4.883,2.197
0.933,0.08,-0.774,19.226,-6.714,1.038
0.936,0.015,-0.83,16.968,-13.733,0.122
0.924,-0.046,-0.861,13.0,-20.508,-5.127
0.984,-0.033,-0.827,8.667,-29.297,-11.414
0.976,-0.066,-0.716,6.531,-39.734,-15.442
0.831,-0.104,-0.594,6.409,-49.011,-20.325
0.639,-0.163,-0.538,6.836,-50.964,-27.649
0.58,-0.22,-0.552,5.859,-44.128,-35.095
0.592,-0.24,-0.665,4.639,-33.752,-39.917
0.549,-0.416,-0.78,3.235,-23.01,-44.25
0.42,-0.496,-0.852,0.671,-14.771,-41.992
0.347,-0.453,-0.949,-3.967,-5.859,-36.56
0.603,-0.404,-0.887,-8.118,7.568,-31.738
1.125,-0.433,-0.674,-9.216,20.569,-29.358
1.058,-0.306,-0.563,-9.094,4.089,-26.672
0.466,-0.012,-0.341,-11.108,-26.733,-29.175
