aX,aY,aZ,gX,gY,gZ
0.346,0.848,0.333,1.343,-0.549,-1.16
0.348,0.85,0.333,1.099,-0.549,-1.343
0.349,0.855,0.335,1.038,-0.427,-1.465
0.35,0.855,0.334,0.977,-0.488,-1.465
0.352,0.856,0.336,1.038,-0.366,-1.465
0.35,0.857,0.337,0.977,-0.488,-1.404
0.349,0.859,0.338,1.221,-0.488,-1.282
0.348,0.863,0.341,1.16,-0.549,-1.099
0.347,0.864,0.341,1.221,-0.61,-1.038
0.347,0.864,0.341,1.16,-0.488,-1.038
0.346,0.861,0.339,1.587,-0.183,-0.977
0.344,0.855,0.337,1.831,0.0,-0.916
0.342,0.851,0.333,2.197,0.122,-0.916
0.341,0.848,0.33,2.258,0.366,-1.038
0.34,0.844,0.328,2.197,0.671,-1.038
0.341,0.844,0.329,2.075,0.793,-1.16
0.342,0.847,0.332,2.197,1.038,-1.343
0.343,0.85,0.334,2.319,1.099,-1.343
0.344,0.852,0.334,2.136,1.16,-1.526
0.342,0.849,0.335,2.319,1.221,-1.404
0.34,0.847,0.334,2.136,1.221,-1.404
0.34,0.844,0.332,2.136,1.221,-1.282
0.339,0.843,0.329,2.258,1.221,-1.099
0.34,0.84,0.327,2.136,1.16,-0.916
0.343,0.84,0.324,2.014,1.16,-0.549
0.345,0.839,0.325,1.831,0.977,-0.305
0.347,0.839,0.325,1.587,0.61,-0.122
0.347,0.842,0.327,1.465,0.305,0.122
0.347,0.841,0.326,1.343,-0.061,0.305
0.345,0.842,0.326,1.221,-0.427,0.427
0.344,0.842,0.325,1.16,-0.549,0.549
0.343,0.845,0.323,0.916,-0.549,0.549
0.343,0.844,0.323,0.732,-0.549,0.488
0.344,0.846,0.323,0.61,-0.427,0.427
0.345,0.847,0.325,0.549,-0.549,0.427
0.345,0.85,0.326,0.549,-0.427,0.183
0.347,0.85,0.326,0.488,-0.244,0.244
0.347,0.852,0.327,0.549,-0.244,0.183
0.349,0.853,0.328,0.305,-0.122,0.244
0.349,0.854,0.329,0.549,-0.122,0.427
0.349,0.854,0.33,0.488,-0.061,0.427
0.347,0.852,0.328,0.183,-0.122,0.549
0.347,0.85,0.329,0.305,-0.061,0.61
